date,gw_level
2000-01-02,3.35
2000-01-09,3.38
2000-01-16,3.36
2000-01-23,3.37
2000-01-30,
2000-02-06,3.46
2000-02-13,3.5
2000-02-20,3.56
2000-02-27,3.6
2000-03-05,3.57
2000-03-12,3.49
2000-03-19,3.49
2000-03-26,3.53
2000-04-02,3.57
2000-04-09,3.54
2000-04-16,3.53
2000-04-23,3.49
2000-04-30,
2000-05-07,3.41
2000-05-14,3.35
2000-05-21,3.32
2000-05-28,3.3
2000-06-04,3.33
2000-06-11,3.32
2000-06-18,3.31
2000-06-25,3.31
2000-07-02,3.37
2000-07-09,3.4
2000-07-16,3.39
2000-07-23,3.4
2000-07-30,
2000-08-06,3.39
2000-08-13,3.37
2000-08-20,3.34
2000-08-27,3.36
2000-09-03,3.37
2000-09-10,3.37
2000-09-17,3.43
2000-09-24,3.43
2000-10-01,3.41
2000-10-08,3.37
2000-10-15,3.35
2000-10-22,3.31
2000-10-29,
2000-11-05,3.25
2000-11-12,3.23
2000-11-19,3.21
2000-11-26,3.18
2000-12-03,3.17
2000-12-10,3.16
2000-12-17,3.15
2000-12-24,3.14
2000-12-31,
2001-01-07,3.07
2001-01-14,3.07
2001-01-21,3.21
2001-01-28,3.33
2001-02-04,3.41
2001-02-11,3.47
2001-02-18,3.49
2001-02-25,3.49
2001-03-04,3.42
2001-03-11,3.42
2001-03-18,3.43
2001-03-25,3.5
2001-04-01,3.5
2001-04-08,3.49
2001-04-15,3.46
2001-04-22,3.44
2001-04-29,
2001-05-06,3.44
2001-05-13,3.43
2001-05-20,3.42
2001-05-27,3.37
2001-06-03,3.34
2001-06-10,3.34
2001-06-17,3.39
2001-06-24,3.49
2001-07-01,3.39
2001-07-08,3.37
2001-07-15,3.27
2001-07-22,3.41
2001-07-29,
2001-08-05,3.34
2001-08-12,3.29
2001-08-19,3.31
2001-08-26,3.41
2001-09-02,3.33
2001-09-09,3.41
2001-09-16,3.51
2001-09-23,3.57
2001-09-30,
2001-10-07,3.66
2001-10-14,3.65
2001-10-21,3.57
2001-10-28,3.53
2001-11-04,3.45
2001-11-11,3.37
2001-11-18,3.33
2001-11-25,3.32
2001-12-02,3.34
2001-12-09,3.35
2001-12-16,3.34
2001-12-23,
2001-12-30,
2002-01-06,3.38
2002-01-13,3.41
2002-01-20,3.44
2002-01-27,3.57
2002-02-03,3.78
2002-02-10,3.77
2002-02-17,3.87
2002-02-24,3.91
2002-03-03,4.14
2002-03-10,4.07
2002-03-17,3.99
2002-03-24,3.97
2002-03-31,
2002-04-07,3.78
2002-04-14,3.66
2002-04-21,3.79
2002-04-28,3.88
2002-05-05,3.76
2002-05-12,3.7
2002-05-19,3.59
2002-05-26,3.53
2002-06-02,3.52
2002-06-09,3.52
2002-06-16,3.56
2002-06-23,3.52
2002-06-30,
2002-07-07,3.5
2002-07-14,3.48
2002-07-21,3.55
2002-07-28,3.58
2002-08-04,3.59
2002-08-11,3.72
2002-08-18,4.22
2002-08-25,4.09
2002-09-01,3.89
2002-09-08,3.72
2002-09-15,3.69
2002-09-22,3.71
2002-09-29,
2002-10-06,3.82
2002-10-13,3.79
2002-10-20,3.77
2002-10-27,3.77
2002-11-03,3.83
2002-11-10,3.77
2002-11-17,3.77
2002-11-24,3.82
2002-12-01,3.97
2002-12-08,3.87
2002-12-15,3.79
2002-12-22,3.67
2002-12-29,
2003-01-05,3.67
2003-01-12,3.69
2003-01-19,3.94
2003-01-26,3.95
2003-02-02,3.93
2003-02-09,3.8
2003-02-16,3.65
2003-02-23,3.63
2003-03-02,3.6
2003-03-09,3.64
2003-03-16,3.67
2003-03-23,3.67
2003-03-30,
2003-04-06,3.6
2003-04-13,3.54
2003-04-20,3.51
2003-04-27,3.49
2003-05-04,3.42
2003-05-11,3.4
2003-05-18,3.38
2003-05-25,3.37
2003-06-01,3.36
2003-06-08,3.35
2003-06-15,3.36
2003-06-22,3.39
2003-06-29,
2003-07-06,3.43
2003-07-13,3.47
2003-07-20,3.45
2003-07-27,3.44
2003-08-03,3.45
2003-08-10,3.51
2003-08-17,3.5
2003-08-24,3.44
2003-08-31,
