Zeitpunkt des Exports,Messstellenname,ID,Messstellenart,Hoehensystem,Gelaendehoehe (in Meter HS),Filteroberkante (in Meter HS),Filterunterkante (in Meter HS),NW - Niedrigster gemessener Wasserstand [cm u. GOK],MW - Mittlerer Wasserstand [cm u. GOK],HW - Hoechster gemessener Wasserstand [cm u. GOK],NW - Niedrigster gemessener Wasserstand [m ue. NHN],MW - Mittlerer Wasserstand [m ue. NHN],HW - Hoechster gemessener Wasserstand [m ue. NHN],Bezugszeitraum Hauptwerte,MW Januar [cm uGOK],MW Februar [cm uGOK],MW Maerz [cm uGOK],MW April [cm uGOK],MW Mai [cm uGOK],MW Juni [cm uGOK],MW Juli [cm uGOK],MW August [cm uGOK],MW September [cm uGOK],MW Oktober [cm uGOK],MW November [cm uGOK],MW Dezember [cm uGOK],Grundwasserleiterkomplex,loc_id,loc_name,east_3857,north_3857,east_25833,north_25833,x,y,geometry
02.02.2026,"30360009, Hinzdorf, OT Schadebeuster",30360009,Beobachtungsrohr,NHN92,"21,7","17,3","15,8",311,141,-19,"18,59","20,29","21,89",1936 / 2025,,,,,,,,,,,,,,13387,"30360009, Hinzdorf, OT Schadebeuster",1314034.67731619,6976152.91296254,285374.04,5872932.41,285374.04,5872932.41,POINT (4442222.909262264 3318659.8600156303)
02.02.2026,"26501081, Schwaneberg West",26501081,Beobachtungsrohr,NHN92,"62,46","-20,64","-22,64",3131,3060,2924,"31,15","31,86","33,22",1997 / 2025,,,,,,,,,,,,,,15898,"26501081, Schwaneberg West",1568451.13148383,7043389.68595936,439365.99999982,5908840.00079129,439365.99999982,5908840.00079129,POINT (4593356.856631111 3365147.265893094)
02.02.2026,"39441108, Kloster Zinna, Berliner StraÃe",39441108,Beobachtungsrohr,NHN92,"63,98",,,158,114,47,"62,4","62,84","63,51",1969 / 2025,,,,,,,,,,,,,,13631,"39441108, Kloster Zinna, Berliner Straße",1458891.90836803,6804632.23561209,370016.0,5765504.0,370016.0,5765504.0,POINT (4534083.195485971 3217312.920658096)
02.02.2026,"33455008, Hennigsdorf, Rathausplatz OP",33455008,Beobachtungsrohr,NHN16,34,"27,5","25,5",349,288,226,"30,51","31,12","31,74",1995 / 2025,,,,,,,,,,,,,,14776,"33455008, Hennigsdorf, Rathausplatz OP",1470331.20169946,6916238.40834609,378752.99995932,5833462.00148912,378752.99995932,5833462.00148912,POINT (4538114.060476427 3285733.732109749)
02.02.2026,"27460405, Stabeshorst, Beenzer Ausbau",27460405,Beobachtungsrohr,NHN92,"92,4","56,6","54,6",2143,2087,2001,"70,97","71,53","72,39",2008 / 2025,,,,,,,,,,,,,,15126,"27460405, Stabeshorst, Beenzer Ausbau",1486137.57246392,7029065.44286143,389922.0,5901166.0,389922.0,5901166.0,POINT (4544557.067053905 3354069.699310848)
02.02.2026,"41470010, Gehren",41470010,Beobachtungsrohr,NHN92,"69,52","63,52","61,52",171,128,51,"67,81","68,24","69,01",2005 / 2025,,,,,,,,,,,,,,9971,"41470010, Gehren",1519551.86204788,6763836.49482953,406934.25,5739527.65,406934.25,5739527.65,POINT (4572700.01142786 3193918.976009773)
02.02.2026,"29370007, Perleberg, Rathaus UF",29370007,Beobachtungsrohr,NHN16,"33,3","27,05","25,05",419,402,373,"29,11","29,28","29,57",1994 / 2025,,,,,,,,,,,,,,14965,"29370007, Perleberg, Rathaus UF",1320496.73426535,6997226.89296722,289826.0,5885423.0,289826.0,5885423.0,POINT (4445794.6438069185 3331426.9880577843)
02.02.2026,"30360036, Hinzdorf, Abzw. n. Zwisch.",30360036,Beobachtungsrohr,NHN92,"22,1","16,4","14,4",355,207,-39,"18,55","20,03","22,49",1964 / 2025,,,,,,,,,,,,,,13362,"30360036, Hinzdorf, Abzw. n. Zwisch.",1314816.88604126,6977954.14929922,285894.0,5873995.0,285894.0,5873995.0,POINT (4442667.664917854 3319755.747772177)
02.02.2026,"28390125, Pritzwalk, Perleberger Str.",28390125,Beobachtungsrohr,NHN92,"62,6","55,1","53,1",290,267,236,"59,7","59,93","60,24",2002 / 2025,,,,,,,,,,,,,,15174,"28390125, Pritzwalk, Perleberger Str.",1354822.3242849,7010682.6374818,310794.0,5892631.0,310794.0,5892631.0,POINT (4466208.299919476 3340071.436259883)
02.02.2026,"32502125, Bad Freienwalde, gegenÃ¼ber Finanzamt",32502125,Beobachtungsrohr,NHN16,"12,6","5,59","3,59",471,413,374,"7,89","8,47","8,86",1971 / 2025,,,,,,,,,,,,,,8630,"32502125, Bad Freienwalde, gegenüber Finanzamt",1563334.02500329,6942371.53799397,435495.0,5848205.0,435495.0,5848205.0,POINT (4593707.286287891 3304358.7136635543)
