date,gw_level
2000-01-02,28.18
2000-01-09,28.18
2000-01-16,28.2
2000-01-23,28.24
2000-01-30,
2000-02-06,28.21
2000-02-13,28.42
2000-02-20,28.48
2000-02-27,28.47
2000-03-05,28.44
2000-03-12,28.45
2000-03-19,28.59
2000-03-26,28.73
2000-04-02,28.66
2000-04-09,28.61
2000-04-16,28.51
2000-04-23,28.5
2000-04-30,
2000-05-07,28.46
2000-05-14,28.37
2000-05-21,28.28
2000-05-28,28.34
2000-06-04,28.16
2000-06-11,28.13
2000-06-18,28.04
2000-06-25,28.0
2000-07-02,27.93
2000-07-09,27.95
2000-07-16,27.95
2000-07-23,27.95
2000-07-30,
2000-08-06,28.01
2000-08-13,27.94
2000-08-20,27.93
2000-08-27,28.03
2000-09-03,28.02
2000-09-10,28.03
2000-09-17,28.02
2000-09-24,28.01
2000-10-01,28.04
2000-10-08,28.06
2000-10-15,28.06
2000-10-22,28.09
2000-10-29,
2000-11-05,28.11
2000-11-12,28.08
2000-11-19,28.08
2000-11-26,28.07
2000-12-03,28.08
2000-12-10,28.11
2000-12-17,28.11
2000-12-24,28.14
2000-12-31,
2001-01-07,28.21
2001-01-14,28.25
2001-01-21,28.27
2001-01-28,28.32
2001-02-04,28.28
2001-02-11,28.4
2001-02-18,28.48
2001-02-25,28.43
2001-03-04,28.52
2001-03-11,28.51
2001-03-18,28.52
2001-03-25,28.58
2001-04-01,28.63
2001-04-08,28.54
2001-04-15,28.54
2001-04-22,28.57
2001-04-29,
2001-05-06,28.49
2001-05-13,28.48
2001-05-20,28.44
2001-05-27,28.33
2001-06-03,28.26
2001-06-10,28.22
2001-06-17,28.21
2001-06-24,28.18
2001-07-01,28.12
2001-07-08,28.09
2001-07-15,28.07
2001-07-22,28.07
2001-07-29,
2001-08-05,28.03
2001-08-12,28.0
2001-08-19,27.95
2001-08-26,27.97
2001-09-02,27.94
2001-09-09,28.0
2001-09-16,28.15
2001-09-23,28.17
2001-09-30,
2001-10-07,28.22
2001-10-14,28.32
2001-10-21,28.28
2001-10-28,28.23
2001-11-04,28.24
2001-11-11,28.24
2001-11-18,28.23
2001-11-25,28.24
2001-12-02,28.28
2001-12-09,28.31
2001-12-16,28.33
2001-12-23,28.34
2001-12-30,
2002-01-06,28.47
2002-01-13,28.44
2002-01-20,28.42
2002-01-27,28.39
2002-02-03,28.58
2002-02-10,28.59
2002-02-17,28.64
2002-02-24,28.7
2002-03-03,28.86
2002-03-10,28.9
2002-03-17,28.95
2002-03-24,28.86
2002-03-31,
2002-04-07,28.68
2002-04-14,28.6
2002-04-21,28.63
2002-04-28,28.69
2002-05-05,28.65
2002-05-12,28.59
2002-05-19,28.52
2002-05-26,28.46
2002-06-02,28.36
2002-06-09,28.32
2002-06-16,28.3
2002-06-23,28.34
2002-06-30,
2002-07-07,28.26
2002-07-14,28.22
