well_id,region,slope_m_per_year,p_value,tau,mean_level,std_level,total_change_est,count,start_date,end_date
26500002,Brandenburg,-0.01720172684458396,1.6061687577117065e-28,-0.21356834477835684,27.930750615258408,0.4313181982903176,-0.44703296703296624,1219,2000-01-02,2025-12-28
34532500,Brandenburg,-0.0034686609686609827,2.559462545594768e-08,-0.10633492551571648,11.685786516853932,0.25320827305862575,-0.09014245014245051,1246,2000-01-02,2025-12-28
37539029,Brandenburg,-0.005846338535414041,3.114572968454799e-06,-0.08867862386803656,22.589348350764283,0.3298482331771747,-0.1513725490196046,1243,2000-01-02,2025-11-23
28438100,Brandenburg,-0.004993164730007616,1.5756266794574678e-07,-0.10030772234375177,58.62992694805195,0.27688535156300015,-0.1288995215311206,1232,2000-01-02,2025-10-26
38501759,Brandenburg,-0.011543931731984173,5.3766241813021534e-06,-0.08684948692816415,66.99358201489065,0.6742461658130137,-0.29999999999998295,1228,2000-01-02,2025-12-28
32449206,Brandenburg,-0.010717036493672978,2.950834270288371e-26,-0.2032378339684501,34.238231458842705,0.250565883212833,-0.2766623876765024,1227,2000-01-02,2025-10-26
33427125,Brandenburg,-0.0401373626373628,9.119120878302404e-47,-0.2764336523980318,31.781869313482215,0.6511495055186988,-1.0430769230769272,1209,2000-01-02,2025-12-28
35406375,Brandenburg,-0.0059975369458129466,2.1300840840486148e-21,-0.18352079344353778,28.432930041152265,0.19146966591562728,-0.15586206896552085,1215,2000-01-02,2025-12-28
34532507,Brandenburg,0.0,0.8294857363480552,-0.004059229710300094,10.413958695080243,0.16093094429126795,0.0,1267,2000-01-02,2025-12-28
30509092,Brandenburg,-0.0027549404133353442,0.0010499193279708144,-0.06254676051092213,0.4483857949959644,0.2329315777805883,-0.07159450897571276,1239,2000-01-02,2025-12-28
38441750,Brandenburg,0.003087489433643214,1.2034325973896854e-05,0.08389161383352162,38.1447849025974,0.1768571861278344,0.08023668639053083,1232,2000-01-02,2025-12-28
31449108,Brandenburg,-0.001226768920734339,0.12621652703901143,-0.02925164021925046,40.68133414436333,0.28559549251823535,-0.03188087774294414,1233,2000-01-02,2025-12-28
33465504,Brandenburg,-0.014869541080680901,5.147065881545982e-34,-0.2366586586229766,39.75670598146588,0.3135157062283131,-0.38386010362694106,1187,2000-01-02,2025-10-26
34481536,Brandenburg,-0.022923640167364107,9.916594380969944e-47,-0.2730666731038703,55.89283870967741,0.433904634741262,-0.5935355648535589,1240,2000-01-02,2025-11-23
39521830,Brandenburg,-0.039183527973927525,1.1988430279870664e-111,-0.4389264570399643,66.44847198641766,0.3828441609743435,-1.0182889733840386,1178,2000-01-02,2025-12-28
28438109,Brandenburg,-0.004384753901560531,1.0911409256650919e-06,-0.09324383552162446,60.234234817813764,0.2355398689836548,-0.11319327731092196,1235,2000-01-02,2025-10-26
33522342,Brandenburg,-0.007314753004005293,1.695961243346713e-17,-0.16196544851806,5.217642341619888,0.2447719074475484,-0.190093457943924,1247,2000-01-02,2025-12-28
36451340,Brandenburg,-0.026434078036500993,1.6259256729010512e-79,-0.371635355281318,36.7517943201377,0.33696533967139136,-0.6869603524229088,1162,2000-01-02,2025-12-28
38441781,Brandenburg,-0.0007277346084876018,0.225890648191874,-0.02411285271161525,36.911549912434324,0.19032867841575524,-0.018912133891209628,1142,2000-01-02,2025-12-28
31481995,Brandenburg,0.007983851198136967,4.734077666512687e-43,0.25486770396477076,32.76321060025543,0.17657405238357565,0.20732875732875877,1305,2000-01-02,2025-12-21
41510109,Brandenburg,0.003360938578329811,2.7419759894695406e-06,0.08942693789017095,55.10171221864952,0.18657354819500643,0.08702093397745386,1244,2000-01-02,2025-11-23
35406530,Brandenburg,-0.00832360062669136,2.04743175687139e-30,-0.21935525239547538,29.20307692307692,0.19030724719214553,-0.21631106679960135,1235,2000-01-02,2025-12-28
27521005,Brandenburg,-0.003601005619639161,1.6437394304530756e-12,-0.1326348110053141,1.4896248411452493,0.1310692184315554,-0.09358178053830231,1274,2000-01-02,2025-12-28
36441936,Brandenburg,-0.0029987684729058076,0.000746112644382964,-0.0646476816394502,32.750134364820845,0.2363496533870795,-0.07787356321837532,1228,2000-01-02,2025-12-21
37539033,Brandenburg,0.003519633823175063,2.5381502467547753e-09,0.11373080066638272,23.366316211878008,0.15524224174368648,0.09146711635750225,1246,2000-01-02,2025-12-28
37539034,Brandenburg,0.0,0.9778510558926975,-0.000518999698675933,22.708380915352144,0.17974068375094782,0.0,1286,2000-01-02,2025-12-28
40496316,Brandenburg,0.0033024412296567014,4.389693994393198e-05,0.07799917396285874,50.17091129032258,0.19828350150555343,0.0852531645569693,1240,2000-01-02,2025-10-26
38441717,Brandenburg,-0.004934143870313977,1.6986331647227939e-15,-0.15250997644732214,42.58205097087379,0.16340190536542393,-0.12822695035460718,1236,2000-01-02,2025-12-28
31429402,Brandenburg,-0.002051582100730278,0.0006552508564765519,-0.06531966593189492,33.009611336032386,0.16462068642127015,-0.05296199213630607,1235,2000-01-02,2025-10-26
29510999,Brandenburg,-0.004507119126720375,1.705137867346463e-09,-0.11080013063668298,4.753236635305145,0.2319612359027638,-0.11712956810631019,1321,2000-01-02,2025-12-28
27400050,Brandenburg,-0.012608204992033547,1.373188896177076e-25,-0.2001868045927434,73.0991890790546,0.31494830578486327,-0.3254832713754533,1227,2000-01-02,2025-10-26
34402050,Brandenburg,-0.008176129426129384,3.626889854681627e-13,-0.13807012003441121,27.599141940657574,0.3118645351319355,-0.21247863247863139,1247,2000-01-02,2025-12-28
36412060,Brandenburg,-0.007701634159198657,7.48261623434664e-24,-0.19195042870998655,29.02780546623794,0.1967401311334728,-0.2001476014760127,1244,2000-01-02,2025-12-28
42529117,Brandenburg,0.0021989214273872727,1.4743937475727302e-14,0.1501966066417269,68.57363561417971,0.16144970539262818,0.05714486567764542,1213,2000-01-02,2025-12-28
37413822,Brandenburg,-0.002446826327248315,0.005676894495980003,-0.05324775591993197,34.79910509031198,0.22646526092888125,-0.06358733880421903,1218,2000-01-02,2025-12-28
32455414,Brandenburg,-0.016761272944932452,2.986606409862351e-58,-0.3099516506363574,33.147800658978575,0.26553577643377424,-0.43269553072626443,1214,2000-01-02,2025-10-26
41469014,Brandenburg,-0.006674003322259102,1.628931439629493e-08,-0.10878346101981189,85.22084843492587,0.34096725737669753,-0.17344186046511537,1214,2000-01-02,2025-12-28
