Zeitpunkt des Exports,Messstellenname,ID,Messstellenart,Hoehensystem,Gelaendehoehe (in Meter HS),Filteroberkante (in Meter HS),Filterunterkante (in Meter HS),NW - Niedrigster gemessener Wasserstand [cm u. GOK],MW - Mittlerer Wasserstand [cm u. GOK],HW - Hoechster gemessener Wasserstand [cm u. GOK],NW - Niedrigster gemessener Wasserstand [m ue. NHN],MW - Mittlerer Wasserstand [m ue. NHN],HW - Hoechster gemessener Wasserstand [m ue. NHN],Bezugszeitraum Hauptwerte,MW Januar [cm uGOK],MW Februar [cm uGOK],MW Maerz [cm uGOK],MW April [cm uGOK],MW Mai [cm uGOK],MW Juni [cm uGOK],MW Juli [cm uGOK],MW August [cm uGOK],MW September [cm uGOK],MW Oktober [cm uGOK],MW November [cm uGOK],MW Dezember [cm uGOK],Grundwasserleiterkomplex,loc_id,loc_name,east_3857,north_3857,east_25833,north_25833,x,y,geometry,index_right,WERT,SHAPE_AREA,SHAPE_LEN,z_terrain,h_measured,unsat_thickness_shp,dist_measured_cm,dist_measured_m,h_calculated,h_diff,is_topmost
02.02.2026,"30481528, Joachimsthal, Forst, OP",30481528,Beobachtungsrohr,NHN16,74.7,68.76,67.76,461.0,408.0,289.0,70.09,70.62,71.81,2000 / 2025,,,,,,,,,,,,,,8692,"30481528, Joachimsthal, Forst, OP",1524755.68693419,6981545.44397537,412549.0,5872191.0,412549.0,5872191.0,POINT (412549 5872191),37241.0,20.0,22177576.8667,255213.691902,74.7,70.62,20.0,408.0,4.08,54.7,15.920000000000002,False
02.02.2026,"38413420, LÃ¼tte SÃ¼d OP",38413420,Beobachtungsrohr,NHN92,52.8,17.5,14.5,266.0,213.0,150.0,50.14,50.67,51.3,1978 / 2025,,,,,,,,,,,,,,13329,"38413420, Lütte Süd OP",1403977.60058062,6835440.30754266,336797.0,5785402.0,336797.0,5785402.0,POINT (336797 5785402),2197.0,2.0,837421.665165,30683.8975411,52.8,50.67,2.0,213.0,2.13,50.8,0.12999999999999545,True
02.02.2026,"29490632, GÃ¶rlsdorf OP",29490632,Beobachtungsrohr,NHN92,40.7,37.57,35.57,220.0,96.0,-1.0,38.5,39.74,40.71,1985 / 2025,,,,,,,,,,,,,,9636,"29490632, Görlsdorf OP",1553591.37432513,6991933.89155717,430026.0,5878151.0,430026.0,5878151.0,POINT (430026 5878151),37218.0,1.0,2980263.08171,101257.404881,40.7,39.74,1.0,96.0,0.96,39.7,0.03999999999999915,True
02.02.2026,"35485390, GrÃ¼nheide",35485390,Beobachtungsrohr,NHN16,38.8,29.9,27.9,580.0,555.0,490.0,33.0,33.25,33.9,1999 / 2025,,,,,,,,,,,,,,12200,"35485390, Grünheide",1538001.97686164,6874185.07119069,419467.0,5807047.0,419467.0,5807047.0,POINT (419467 5807047),11332.0,7.5,16019486.0422,47564.1968975,38.8,33.25,7.5,555.0,5.55,31.299999999999997,1.9500000000000028,False
02.02.2026,"40466026, Heinsdorf",40466026,Beobachtungsrohr,NHN16,118.88,80.38,78.38,3676.0,3578.0,3487.0,82.12,83.1,84.01,2002 / 2025,,,,,,,,,,,,,,12551,"40466026, Heinsdorf",1485262.08071849,6788628.18181846,386043.0,5755259.0,386043.0,5755259.0,POINT (386043 5755259),11549.0,40.0,54711970.5947,278944.512036,118.88,83.1,40.0,3578.0,35.78,78.88,4.219999999999999,False
02.02.2026,"29470010, Vietmannsdorf, Haus Nr.7",29470010,Beobachtungsrohr,NHN92,50.3,41.0,39.0,207.0,163.0,117.0,48.23,48.67,49.13,1998 / 2025,,,,,,,,,,,,,,14549,"29470010, Vietmannsdorf, Haus Nr.7",1505804.41642166,6992816.0041408,401262.0,5879186.0,401262.0,5879186.0,POINT (401262 5879186),35146.0,1.0,1890882.73564,66641.2981586,50.3,48.67,1.0,163.0,1.63,49.3,0.6299999999999955,True
02.02.2026,"33419914, Briesen, ca. 1 km sÃ¼dwestl. OP",33419914,Beobachtungsrohr,NHN92,44.5,27.6,25.6,1550.0,1462.0,1354.0,29.0,29.88,30.96,1971 / 2025,,,,,,,,,,,,,,13716,"33419914, Briesen, ca. 1 km südwestl. OP",1398875.60029579,6927323.23138942,335550.0,5841451.0,335550.0,5841451.0,POINT (335550 5841451),22598.0,15.0,2737064.54965,33583.0118128,44.5,29.88,15.0,1462.0,14.62,29.5,0.379999999999999,True
02.02.2026,"43483620, Finsterwalde",43483620,Beobachtungsrohr,NHN92,104.4,,,438.0,344.0,236.0,100.02,100.96,102.04,1971 / 2025,,,,,,,,,,,,,,11138,"43483620, Finsterwalde",1522658.54223536,6737643.97434573,408565.0,5723284.0,408565.0,5723284.0,POINT (408565 5723284),4709.0,4.0,6201736.68964,133651.107756,104.4,100.96,4.0,344.0,3.44,100.4,0.5599999999999881,True
02.02.2026,"35442151, GroÃ Glienicke, Am Fenn, UP",35442151,Beobachtungsrohr,NHN92,36.8,18.3,16.3,698.0,611.0,538.0,29.82,30.69,31.42,2002 / 2025,,,,,,,,,,,,,,13722,"35442151, Groß Glienicke, Am Fenn, UP",1458158.79987532,6884729.07191098,370850.0,5814510.0,370850.0,5814510.0,POINT (370850 5814510),24203.0,7.5,254631.502718,6255.51769987,36.8,30.69,7.5,611.0,6.11,29.299999999999997,1.3900000000000041,True
02.02.2026,"30370060, BÃ¤low, Trafohaus",30370060,Beobachtungsrohr,NHN16,22.3,14.2,12.2,270.0,164.0,7.0,19.6,20.66,22.23,1998 / 2025,,,,,,,,,,,,,,13333,"30370060, Bälow, Trafohaus",1320761.12908332,6971898.63468496,289319.0,5870193.0,289319.0,5870193.0,POINT (289319 5870193),22538.0,2.0,38837913.3167,236331.57482,22.3,20.66,2.0,164.0,1.64,20.3,0.35999999999999943,True
02.02.2026,"40486267, SchÃ¶nwalde, Krausnicker Weg",40486267,Beobachtungsrohr,NHN92,52.62,45.62,43.62,223.0,171.0,78.0,50.39,50.91,51.84,2004 / 2025,,,,,,,,,,,,,,12383,"40486267, Schönwalde, Krausnicker Weg",1534322.53592989,6799203.06208296,416448.0,5761170.0,416448.0,5761170.0,POINT (416448 5761170),36296.0,2.0,35919430.7581,196591.667874,52.62,50.91,2.0,171.0,1.71,50.62,0.28999999999999915,True
02.02.2026,"38465205, Mellensee Nord",38465205,Beobachtungsrohr,NHN92,38.48,21.48,19.48,317.0,283.0,228.0,35.31,35.65,36.2,2009 / 2025,,,,,,,,,,,,,,10795,"38465205, Mellensee Nord",1493594.84527406,6835276.82381013,391813.0,5783795.0,391813.0,5783795.0,POINT (391813 5783795),11184.0,3.0,1445419.47244,22393.446949,38.48,35.65,3.0,283.0,2.83,35.48,0.1700000000000017,True
02.02.2026,"32502127, Bad Freienwalde, Wriezener StraÃe",32502127,Beobachtungsrohr,NHN92,10.26,,,247.0,168.0,100.0,7.79,8.58,9.26,1971 / 2025,,,,,,,,,,,,,,8590,"32502127, Bad Freienwalde, Wriezener Straße",1565763.17207391,6940992.37016471,436956.0,5847352.0,436956.0,5847352.0,POINT (436956 5847352),30028.0,3.0,2344461.62019,113545.932679,10.26,8.58,3.0,168.0,1.68,7.26,1.3200000000000003,True
02.02.2026,"25490020, Bandelow OP",25490020,Beobachtungsrohr,NHN16,47.2,9.42,5.42,1844.0,1781.0,1640.0,28.76,29.39,30.8,1984 / 2025,,,,,,,,,,,,,,8868,"25490020, Bandelow OP",1541649.4690817,7058396.72917514,423475.0,5918020.0,423475.0,5918020.0,POINT (423475 5918020),34275.0,20.0,4978369.4651,41803.389739,47.2,29.39,20.0,1781.0,17.81,27.200000000000003,2.1899999999999977,False
02.02.2026,"33502244, Ringenwalde",33502244,Beobachtungsrohr,NHN16,51.6,-18.67,-19.67,1586.0,1477.0,1355.0,35.74,36.83,38.05,1975 / 2025,,,,,,,,,,,,,,9236,"33502244, Ringenwalde",1573941.64839599,6912228.80160515,441704.0,5829871.0,441704.0,5829871.0,POINT (441704 5829871),29979.0,15.0,6605643.44267,108454.286742,51.6,36.83,15.0,1477.0,14.77,36.6,0.22999999999999687,True
02.02.2026,"36522651, Treplin",36522651,Beobachtungsrohr,NHN92,82.01,,,650.0,578.0,448.0,75.51,76.23,77.53,1969 / 2025,,,,,,,,,,,,,,8757,"36522651, Treplin",1602449.71019693,6871939.71013667,458837.0,5805191.0,458837.0,5805191.0,POINT (458837 5805191),15999.0,20.0,5385464.08517,76126.1187074,82.01,76.23,20.0,578.0,5.78,62.010000000000005,14.219999999999999,False
02.02.2026,"36413851, Krahne Ost UP",36413851,Beobachtungsrohr,NHN92,56.1,3.6,1.8,2127.0,2035.0,1933.0,34.83,35.75,36.77,1975 / 2025,,,,,,,,,,,,,,13491,"36413851, Krahne Ost UP",1401614.01443231,6858247.52882677,335810.0,5799396.0,335810.0,5799396.0,POINT (335810 5799396),1585.0,30.0,23457419.2089,75344.9744482,56.1,35.75,30.0,2035.0,20.35,26.1,9.649999999999999,False
02.02.2026,"36422940, GÃ¶hlsdorf-Lehnin",36422940,Beobachtungsrohr,NHN92,36.8,27.8,25.8,451.0,373.0,252.0,32.29,33.07,34.28,1969 / 2025,,,,,,,,,,,,,,13294,"36422940, Göhlsdorf-Lehnin",1422609.74511987,6863757.09992502,348766.0,5802348.0,348766.0,5802348.0,POINT (348766 5802348),1601.0,2.0,108904446.512,1270459.54828,36.8,33.07,2.0,373.0,3.73,34.8,1.7299999999999969,False
02.02.2026,"37431608, Beelitz SÃ¼d",37431608,Beobachtungsrohr,NHN92,43.2,37.9,35.9,446.0,378.0,253.0,38.74,39.42,40.67,1969 / 2025,,,,,,,,,,,,,,13686,"37431608, Beelitz Süd",1443321.00264548,6838987.67281659,361011.0,5786837.0,361011.0,5786837.0,POINT (361011 5786837),37192.0,4.0,3820927.88081,119241.915428,43.2,39.42,4.0,378.0,3.78,39.2,0.21999999999999886,True
02.02.2026,"27470001, Sternthal",27470001,Beobachtungsrohr,NHN92,89.1,70.5,68.5,1393.0,1261.0,1068.0,75.17,76.49,78.42,2007 / 2025,,,,,,,,,,,,,,15127,"27470001, Sternthal",1516356.8568906,7024157.42483096,407977.0,5897847.0,407977.0,5897847.0,POINT (407977 5897847),33427.0,15.0,5466194.12552,97098.6598156,89.1,76.49,15.0,1261.0,12.61,74.1,2.3900000000000006,False
02.02.2026,"40441090, Markendorf,ca. 500 m NW",40441090,Beobachtungsrohr,NHN92,79.57,46.1,44.1,903.0,802.0,729.0,70.54,71.55,72.28,1973 / 2025,,,,,,,,,,,,,,13640,"40441090, Markendorf,ca. 500 m NW",1465473.36567995,6798064.48945533,373970.0,5761361.0,373970.0,5761361.0,POINT (373970 5761361),7189.0,10.0,86665.517846,1178.48484458,79.57,71.55,10.0,802.0,8.02,69.57,1.980000000000004,False
02.02.2026,"45455482, Burxdorf",45455482,Beobachtungsrohr,NHN16,88.69,82.69,80.69,,,,,,,2025 / 2025,,,,,,,,,,,,,,17460,"45455482, Burxdorf",1475883.85181918,6702758.17553074,378983.0,5702226.0,378983.0,5702226.0,POINT (378983 5702226),4703.0,2.0,14251534.9691,85123.6346777,88.69,,2.0,,,86.69,,False
02.02.2026,"32512145, Karlshof, KSP Nr. 28",32512145,Beobachtungsrohr,NHN92,5.9,,,295.0,247.0,142.0,2.95,3.43,4.48,1970 / 2025,,,,,,,,,,,,,,8644,"32512145, Karlshof, KSP Nr. 28",1587095.83873956,6936850.82047875,449858.0,5844697.0,449858.0,5844697.0,POINT (449858 5844697),29934.0,3.0,12359982.0628,213313.363422,5.9,3.43,3.0,247.0,2.47,2.9000000000000004,0.5299999999999998,True
