ID,Region,Pct_Missing,Max_Gap_Weeks,Flagged
45476010,Brandenburg,45.83640383198232,36,True
29491338,Brandenburg,19.896831245394253,151,True
35432400,Brandenburg,13.780397936624908,87,True
38451286,Brandenburg,8.47457627118644,5,False
28452408,Brandenburg,35.003684598378776,410,True
34480962,Brandenburg,9.948415622697127,3,False
36532681,Brandenburg,3.97936624907885,7,False
31502036,Brandenburg,9.506263817243921,7,False
30480881,Brandenburg,32.277081798084005,14,True
33455011,Brandenburg,16.359616801768606,18,False
42510399,Brandenburg,53.72144436256448,2,True
32512157,Brandenburg,9.137803979366248,7,False
32502103,Brandenburg,9.801031687546057,2,False
33502260,Brandenburg,24.907885040530584,202,True
30360010,Brandenburg,36.7722918201916,328,True
31512062,Brandenburg,5.305821665438467,13,False
43473623,Brandenburg,62.269712601326454,829,True
32512168,Brandenburg,13.559322033898304,61,True
36422952,Brandenburg,11.05379513633014,29,False
32502104,Brandenburg,3.97936624907885,1,False
40486076,Brandenburg,22.033898305084744,162,True
37413740,Brandenburg,10.685335298452468,13,False
32512150,Brandenburg,5.0110537951363305,13,False
39441116,Brandenburg,9.358879882092852,10,False
32464600,Brandenburg,10.095799557848196,9,False
31502031,Brandenburg,8.990420044215181,10,False
28330005,Brandenburg,7.221812822402359,22,False
26471097,Brandenburg,1.915991156963891,7,False
38522800,Brandenburg,13.043478260869565,39,False
36412962,Brandenburg,44.14148857774502,127,True
36441897,Brandenburg,6.705969049373619,4,False
37394620,Brandenburg,44.14148857774502,222,True
36441863,Brandenburg,38.540899042004426,434,True
33470960,Brandenburg,95.57848194546794,1067,True
27370001,Brandenburg,12.527634487840825,53,True
29443681,Brandenburg,35.961680176860725,378,True
30438520,Brandenburg,60.94325718496684,759,True
34512425,Brandenburg,8.106116433308769,21,False
45496006,Brandenburg,36.03537214443626,407,True
32512166,Brandenburg,4.716285924834193,5,False
39451180,Brandenburg,9.064112011790716,12,False
37431614,Brandenburg,8.400884303610907,4,False
28400223,Brandenburg,8.769344141488578,9,False
41476552,Brandenburg,9.285187914517318,18,False
43476152,Brandenburg,54.75313190862195,724,True
42536003,Brandenburg,17.538688282977155,55,True
29370010,Brandenburg,9.064112011790716,9,False
32392351,Brandenburg,8.253500368459838,2,False
33452454,Brandenburg,12.306558585114223,8,False
29438110,Brandenburg,10.39056742815033,23,False
35459953,Brandenburg,19.970523212969788,87,True
31419708,Brandenburg,9.653647752394988,9,False
36471402,Brandenburg,8.548268238761974,5,False
32445310,Brandenburg,8.916728076639647,9,False
26471099,Brandenburg,15.843773028739868,12,False
37501769,Brandenburg,8.327192336035372,5,False
40441040,Brandenburg,14.885777450257923,64,True
31471813,Brandenburg,9.211495946941783,13,False
30438511,Brandenburg,26.160648489314664,236,True
29501405,Brandenburg,16.72807663964628,100,True
30509090,Brandenburg,8.47457627118644,5,False
44526005,Brandenburg,36.7722918201916,438,True
33402090,Brandenburg,35.37214443625645,388,True
33522347,Brandenburg,5.821665438467207,12,False
43486000,Brandenburg,45.02579218865144,44,True
38535103,Brandenburg,16.58069270449521,42,False
35442203,Brandenburg,12.527634487840825,4,False
29391202,Brandenburg,15.9174649963154,16,False
28440029,Brandenburg,77.52394988946205,8,True
34481534,Brandenburg,8.327192336035372,5,False
29410630,Brandenburg,25.05526897568165,47,True
37441882,Brandenburg,11.717022844509948,5,False
36432280,Brandenburg,39.5725865880619,434,True
32455003,Brandenburg,28.66617538688283,261,True
31500622,Brandenburg,9.064112011790716,9,False
36451342,Brandenburg,14.664701547531319,11,False
31510212,Brandenburg,8.106116433308769,13,False
34402015,Brandenburg,38.614591009579954,427,True
32439510,Brandenburg,70.44952100221076,886,True
31481174,Brandenburg,10.243183492999263,17,False
37441840,Brandenburg,10.243183492999263,8,False
31449104,Brandenburg,9.579955784819456,11,False
28501101,Brandenburg,9.137803979366248,5,False
41516011,Brandenburg,37.58290346352248,456,True
42519198,Brandenburg,58.953574060427414,270,True
