ID,Grundwasserleiter,Grundwasserdruckflaeche,is_topmost,file_path
15152,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_15152.csv
15153,Elsterzeitl. GW-Leiter (GWL 3),,False,data/raw/Berlin_wells/timeseries\station_15153.csv
15156,Panketalgrundwasserleiter (GWL 1.2),,True,data/raw/Berlin_wells/timeseries\station_15156.csv
15160,Elsterzeitl. GW-Leiter (GWL 3),,False,data/raw/Berlin_wells/timeseries\station_15160.csv
15161,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_15161.csv
15162,Elsterzeitl. GW-Leiter (GWL 3),,False,data/raw/Berlin_wells/timeseries\station_15162.csv
15163,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_15163.csv
15165,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_15165.csv
15166,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_15166.csv
15167,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_15167.csv
15168,Panketalgrundwasserleiter (GWL 1.2),,True,data/raw/Berlin_wells/timeseries\station_15168.csv
15169,Panketalgrundwasserleiter (GWL 1.2),,True,data/raw/Berlin_wells/timeseries\station_15169.csv
15170,Panketalgrundwasserleiter (GWL 1.2),,True,data/raw/Berlin_wells/timeseries\station_15170.csv
15171,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_15171.csv
15172,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_15172.csv
15173,lokal ausgebildeter Grundwasserk�rper,,False,data/raw/Berlin_wells/timeseries\station_15173.csv
15174,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_15174.csv
15175,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_15175.csv
15176,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_15176.csv
15178,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_15178.csv
15179,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_15179.csv
15180,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_15180.csv
15181,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_15181.csv
15183,Elsterzeitl. GW-Leiter (GWL 3),,False,data/raw/Berlin_wells/timeseries\station_15183.csv
15184,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_15184.csv
15185,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_15185.csv
15189,Panketalgrundwasserleiter (GWL 1.2),,True,data/raw/Berlin_wells/timeseries\station_15189.csv
15190,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_15190.csv
15192,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_15192.csv
15193,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_15193.csv
15195,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_15195.csv
15196,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_15196.csv
