Messstellennummer;99729
Bezirk;Marzahn-Hellersdorf
Betreiber;Senat
Auspr�gung;"GW-Stand, tagesaktuell"
Grundwasserleiter;"Hauptgrundwasserleiter (GWL 1.3 + 2)"
Grundwasserdruckfl�che;ungespannt
"Gel�ndeoberkante (GOK) (m �. NHN)";37,42
"Rohroberkante (ROK) (m �. NHN)";38,26
"Filteroberkante (FOK) (m u. GOK)";5,00
"Filterunterkante (FUK) (m u. GOK)";9,00
Rechtswert;404505,20
Hochwert;5815070,70
Projektion;"UTM 33N"
;
Datum;"GW-Stand (m �. NHN)"
26.11.2014;34,12
27.11.2014;34,13
28.11.2014;34,12
29.11.2014;34,12
30.11.2014;34,12
01.12.2014;34,12
02.12.2014;34,12
03.12.2014;34,12
04.12.2014;34,12
05.12.2014;34,12
06.12.2014;34,12
07.12.2014;34,12
08.12.2014;34,12
09.12.2014;34,11
10.12.2014;34,12
11.12.2014;34,12
12.12.2014;34,12
13.12.2014;34,11
14.12.2014;34,11
15.12.2014;34,11
16.12.2014;34,11
17.12.2014;34,11
18.12.2014;34,11
19.12.2014;34,11
20.12.2014;34,11
21.12.2014;34,11
22.12.2014;34,11
23.12.2014;34,11
24.12.2014;34,11
25.12.2014;34,11
26.12.2014;34,11
27.12.2014;34,11
28.12.2014;34,11
29.12.2014;34,11
30.12.2014;34,10
31.12.2014;34,10
01.01.2015;34,10
02.01.2015;34,11
03.01.2015;34,11
04.01.2015;34,10
05.01.2015;34,10
06.01.2015;34,10
07.01.2015;34,10
08.01.2015;34,10
09.01.2015;34,11
10.01.2015;34,12
11.01.2015;34,12
12.01.2015;34,12
13.01.2015;34,13
14.01.2015;34,13
15.01.2015;34,13
16.01.2015;34,12
17.01.2015;34,12
18.01.2015;34,13
19.01.2015;34,13
20.01.2015;34,14
21.01.2015;34,14
22.01.2015;34,14
23.01.2015;34,14
24.01.2015;34,15
25.01.2015;34,15
26.01.2015;34,15
27.01.2015;34,16
28.01.2015;34,16
29.01.2015;34,17
30.01.2015;34,18
31.01.2015;34,18
01.02.2015;34,18
02.02.2015;34,18
03.02.2015;34,18
04.02.2015;34,18
05.02.2015;34,18
06.02.2015;34,18
07.02.2015;34,18
08.02.2015;34,19
09.02.2015;34,19
10.02.2015;34,19
11.02.2015;34,19
12.02.2015;34,19
13.02.2015;34,19
14.02.2015;34,20
15.02.2015;34,20
16.02.2015;34,20
17.02.2015;34,20
18.02.2015;34,20
19.02.2015;34,20
20.02.2015;34,20
21.02.2015;34,21
22.02.2015;34,21
23.02.2015;34,21
24.02.2015;34,21
25.02.2015;34,21
26.02.2015;34,21
27.02.2015;34,21
28.02.2015;34,21
01.03.2015;34,22
02.03.2015;34,22
03.03.2015;34,21
04.03.2015;34,21
05.03.2015;34,21
06.03.2015;34,21
07.03.2015;34,22
08.03.2015;34,22
09.03.2015;34,22
10.03.2015;34,22
11.03.2015;34,22
12.03.2015;34,21
13.03.2015;34,22
14.03.2015;34,22
15.03.2015;34,22
16.03.2015;34,22
17.03.2015;34,22
18.03.2015;34,22
19.03.2015;34,22
20.03.2015;34,22
21.03.2015;34,22
22.03.2015;34,21
23.03.2015;34,22
24.03.2015;34,22
25.03.2015;34,22
26.03.2015;34,22
27.03.2015;34,21
28.03.2015;34,21
29.03.2015;34,22
30.03.2015;34,22
31.03.2015;34,22
01.04.2015;34,22
02.04.2015;34,22
03.04.2015;34,22
04.04.2015;34,22
05.04.2015;34,21
06.04.2015;34,21
07.04.2015;34,21
08.04.2015;34,21
09.04.2015;34,21
10.04.2015;34,21
11.04.2015;34,22
12.04.2015;34,21
13.04.2015;34,21
14.04.2015;34,21
15.04.2015;34,21
16.04.2015;34,21
17.04.2015;34,20
18.04.2015;34,20
19.04.2015;34,20
20.04.2015;34,19
21.04.2015;34,19
22.04.2015;34,18
23.04.2015;34,18
24.04.2015;34,18
25.04.2015;34,18
26.04.2015;34,17
27.04.2015;34,17
28.04.2015;34,17
29.04.2015;34,17
30.04.2015;34,18
01.05.2015;34,17
02.05.2015;34,17
03.05.2015;34,17
04.05.2015;34,18
05.05.2015;34,17
06.05.2015;34,17
07.05.2015;34,17
08.05.2015;34,16
09.05.2015;34,16
10.05.2015;34,16
11.05.2015;34,16
12.05.2015;34,15
13.05.2015;34,16
14.05.2015;34,16
15.05.2015;34,16
16.05.2015;34,15
17.05.2015;34,15
18.05.2015;34,15
19.05.2015;34,14
20.05.2015;34,14
21.05.2015;34,14
22.05.2015;34,13
23.05.2015;34,13
24.05.2015;34,13
25.05.2015;34,12
26.05.2015;34,12
27.05.2015;34,12
28.05.2015;34,12
29.05.2015;34,11
30.05.2015;34,11
31.05.2015;34,10
01.06.2015;34,10
02.06.2015;34,10
03.06.2015;34,10
04.06.2015;34,09
05.06.2015;34,09
06.06.2015;34,09
07.06.2015;34,08
08.06.2015;34,08
09.06.2015;34,08
10.06.2015;34,07
11.06.2015;34,07
12.06.2015;34,07
13.06.2015;34,07
14.06.2015;34,06
15.06.2015;34,06
16.06.2015;34,06
17.06.2015;34,06
18.06.2015;34,06
19.06.2015;34,05
20.06.2015;34,05
21.06.2015;34,05
22.06.2015;34,05
23.06.2015;34,05
24.06.2015;34,05
25.06.2015;34,05
26.06.2015;34,05
27.06.2015;34,05
28.06.2015;34,05
29.06.2015;34,05
30.06.2015;34,05
01.07.2015;34,04
02.07.2015;34,04
03.07.2015;34,04
04.07.2015;34,03
05.07.2015;34,03
06.07.2015;34,02
07.07.2015;34,02
08.07.2015;34,02
09.07.2015;34,02
10.07.2015;34,02
11.07.2015;34,02
12.07.2015;34,01
13.07.2015;34,01
14.07.2015;34,01
15.07.2015;34,01
16.07.2015;34,01
17.07.2015;34,01
18.07.2015;34,01
19.07.2015;34,01
20.07.2015;34,01
21.07.2015;34,00
22.07.2015;34,00
23.07.2015;34,00
24.07.2015;34,00
25.07.2015;34,00
26.07.2015;33,99
27.07.2015;33,99
28.07.2015;33,99
29.07.2015;33,99
30.07.2015;33,99
31.07.2015;33,98
01.08.2015;33,98
02.08.2015;33,98
03.08.2015;33,98
04.08.2015;33,97
05.08.2015;33,97
06.08.2015;33,97
07.08.2015;33,96
08.08.2015;33,96
09.08.2015;33,95
10.08.2015;33,95
11.08.2015;33,95
12.08.2015;33,94
13.08.2015;33,94
14.08.2015;33,94
15.08.2015;33,93
16.08.2015;33,93
17.08.2015;33,93
18.08.2015;33,93
19.08.2015;33,92
20.08.2015;33,92
21.08.2015;33,92
22.08.2015;33,91
23.08.2015;33,91
24.08.2015;33,91
25.08.2015;33,91
26.08.2015;33,91
27.08.2015;33,90
28.08.2015;33,90
29.08.2015;33,90
30.08.2015;33,90
31.08.2015;33,90
01.09.2015;33,89
02.09.2015;33,89
03.09.2015;33,89
04.09.2015;33,89
05.09.2015;33,89
06.09.2015;33,89
07.09.2015;33,88
08.09.2015;33,88
09.09.2015;33,88
10.09.2015;33,88
11.09.2015;33,88
12.09.2015;33,88
13.09.2015;33,88
14.09.2015;33,88
15.09.2015;33,88
16.09.2015;33,88
17.09.2015;33,88
18.09.2015;33,87
19.09.2015;33,87
20.09.2015;33,87
21.09.2015;33,87
22.09.2015;33,87
23.09.2015;33,87
24.09.2015;33,87
25.09.2015;33,87
26.09.2015;33,87
27.09.2015;33,86
28.09.2015;33,86
29.09.2015;33,86
30.09.2015;33,86
01.10.2015;33,86
02.10.2015;33,86
03.10.2015;33,86
04.10.2015;33,86
05.10.2015;33,85
06.10.2015;33,85
07.10.2015;33,85
08.10.2015;33,85
09.10.2015;33,85
10.10.2015;33,85
11.10.2015;33,85
12.10.2015;33,85
13.10.2015;33,85
14.10.2015;33,85
15.10.2015;33,85
16.10.2015;33,85
17.10.2015;33,86
18.10.2015;33,86
19.10.2015;33,87
20.10.2015;33,87
21.10.2015;33,87
22.10.2015;33,87
23.10.2015;33,87
24.10.2015;33,87
25.10.2015;33,87
26.10.2015;33,87
27.10.2015;33,87
28.10.2015;33,87
29.10.2015;33,87
30.10.2015;33,87
31.10.2015;33,87
01.11.2015;33,87
02.11.2015;33,87
03.11.2015;33,88
04.11.2015;33,88
05.11.2015;33,88
06.11.2015;33,88
07.11.2015;33,88
08.11.2015;33,88
09.11.2015;33,88
10.11.2015;33,88
11.11.2015;33,88
12.11.2015;33,88
13.11.2015;33,88
14.11.2015;33,88
15.11.2015;33,88
16.11.2015;33,89
17.11.2015;33,89
18.11.2015;33,90
19.11.2015;33,90
20.11.2015;33,90
21.11.2015;33,90
