"Zeitpunkt";"Wasserstand(NHN) [mNHN]";"Hinweise"
"01.11.1980 00:00:00";"52,28";"Geprüft"
"08.11.1980 00:00:00";"52,25";"Geprüft"
"15.11.1980 00:00:00";"52,23";"Geprüft"
"22.11.1980 00:00:00";"52,21";"Geprüft"
"01.12.1980 00:00:00";"52,2";"Geprüft"
"08.12.1980 00:00:00";"52,22";"Geprüft"
"15.12.1980 00:00:00";"52,2";"Geprüft"
"22.12.1980 00:00:00";"52,18";"Geprüft"
"15.05.1981 00:00:00";"52,46";"Geprüft"
"22.05.1981 00:00:00";"52,46";"Geprüft"
"01.06.1981 00:00:00";"52,49";"Geprüft"
"08.06.1981 00:00:00";"52,51";"Geprüft"
"15.06.1981 00:00:00";"52,5";"Geprüft"
"22.06.1981 00:00:00";"52,5";"Geprüft"
"01.07.1981 00:00:00";"52,52";"Geprüft"
"08.07.1981 00:00:00";"52,53";"Geprüft"
"15.07.1981 00:00:00";"52,54";"Geprüft"
"22.07.1981 00:00:00";"52,55";"Geprüft"
"01.08.1981 00:00:00";"52,51";"Geprüft"
"08.08.1981 00:00:00";"52,55";"Geprüft"
"15.08.1981 00:00:00";"52,52";"Geprüft"
"22.08.1981 00:00:00";"52,58";"Geprüft"
"01.09.1981 00:00:00";"52,5";"Geprüft"
"08.09.1981 00:00:00";"52,52";"Geprüft"
"15.09.1981 00:00:00";"52,5";"Geprüft"
"22.09.1981 00:00:00";"52,48";"Geprüft"
"01.10.1981 00:00:00";"52,47";"Geprüft"
"08.10.1981 00:00:00";"52,46";"Geprüft"
"15.10.1981 00:00:00";"52,41";"Geprüft"
"22.10.1981 00:00:00";"52,46";"Geprüft"
"01.11.1981 00:00:00";"52,4";"Geprüft"
"08.11.1981 00:00:00";"52,39";"Geprüft"
"15.11.1981 00:00:00";"52,38";"Geprüft"
"22.11.1981 00:00:00";"52,4";"Geprüft"
"01.12.1981 00:00:00";"52,38";"Geprüft"
"08.12.1981 00:00:00";"52,42";"Geprüft"
"15.12.1981 00:00:00";"52,44";"Geprüft"
"22.12.1981 00:00:00";"52,46";"Geprüft"
"01.01.1982 00:00:00";"52,36";"Geprüft"
"08.01.1982 00:00:00";"52,28";"Geprüft"
"15.01.1982 00:00:00";"52,36";"Geprüft"
"22.01.1982 00:00:00";"52,39";"Geprüft"
"01.02.1982 00:00:00";"52,3";"Geprüft"
"08.02.1982 00:00:00";"52,33";"Geprüft"
"15.02.1982 00:00:00";"52,37";"Geprüft"
"22.02.1982 00:00:00";"52,42";"Geprüft"
"01.03.1982 00:00:00";"52,48";"Geprüft"
"08.03.1982 00:00:00";"52,42";"Geprüft"
"15.03.1982 00:00:00";"52,37";"Geprüft"
"22.03.1982 00:00:00";"52,35";"Geprüft"
"01.04.1982 00:00:00";"52,44";"Geprüft"
"08.04.1982 00:00:00";"52,46";"Geprüft"
"15.04.1982 00:00:00";"52,46";"Geprüft"
"22.04.1982 00:00:00";"52,42";"Geprüft"
"01.05.1982 00:00:00";"52,43";"Geprüft"
"08.05.1982 00:00:00";"52,46";"Geprüft"
"15.05.1982 00:00:00";"52,45";"Geprüft"
"22.05.1982 00:00:00";"52,43";"Geprüft"
"01.06.1982 00:00:00";"52,42";"Geprüft"
"08.06.1982 00:00:00";"52,41";"Geprüft"
"15.06.1982 00:00:00";"52,42";"Geprüft"
"22.06.1982 00:00:00";"52,47";"Geprüft"
"01.07.1982 00:00:00";"52,45";"Geprüft"
"08.07.1982 00:00:00";"52,42";"Geprüft"
"15.07.1982 00:00:00";"52,4";"Geprüft"
"22.07.1982 00:00:00";"52,39";"Geprüft"
"01.08.1982 00:00:00";"52,37";"Geprüft"
"08.08.1982 00:00:00";"52,36";"Geprüft"
"15.08.1982 00:00:00";"52,35";"Geprüft"
"22.08.1982 00:00:00";"52,31";"Geprüft"
"01.09.1982 00:00:00";"52,32";"Geprüft"
"08.09.1982 00:00:00";"52,32";"Geprüft"
"15.09.1982 00:00:00";"52,31";"Geprüft"
"22.09.1982 00:00:00";"52,31";"Geprüft"
"01.10.1982 00:00:00";"52,3";"Geprüft"
"08.10.1982 00:00:00";"52,31";"Geprüft"
"15.10.1982 00:00:00";"52,32";"Geprüft"
"22.10.1982 00:00:00";"52,3";"Geprüft"
"01.11.1982 00:00:00";"52,34";"Geprüft"
"08.11.1982 00:00:00";"52,36";"Geprüft"
"15.11.1982 00:00:00";"52,32";"Geprüft"
"22.11.1982 00:00:00";"52,26";"Geprüft"
"01.12.1982 00:00:00";"52,17";"Geprüft"
"08.12.1982 00:00:00";"52,34";"Geprüft"
"15.12.1982 00:00:00";"52,31";"Geprüft"
"22.12.1982 00:00:00";"52,28";"Geprüft"
"01.01.1983 00:00:00";"52,22";"Geprüft"
"08.01.1983 00:00:00";"52,17";"Geprüft"
"15.01.1983 00:00:00";"52,12";"Geprüft"
"22.01.1983 00:00:00";"52,09";"Geprüft"
"01.02.1983 00:00:00";"52,14";"Geprüft"
"08.02.1983 00:00:00";"52,17";"Geprüft"
"15.02.1983 00:00:00";"52,07";"Geprüft"
"22.02.1983 00:00:00";"52,09";"Geprüft"
"01.03.1983 00:00:00";"52,07";"Geprüft"
"08.03.1983 00:00:00";"52,09";"Geprüft"
"15.03.1983 00:00:00";"52,13";"Geprüft"
"22.03.1983 00:00:00";"52,17";"Geprüft"
"01.04.1983 00:00:00";"52,12";"Geprüft"
"08.04.1983 00:00:00";"52,09";"Geprüft"
"15.04.1983 00:00:00";"52,1";"Geprüft"
"22.04.1983 00:00:00";"52,11";"Geprüft"
"01.05.1983 00:00:00";"52,07";"Geprüft"
"08.05.1983 00:00:00";"52,03";"Geprüft"
"15.05.1983 00:00:00";"52,02";"Geprüft"
"22.05.1983 00:00:00";"52,08";"Geprüft"
"01.06.1983 00:00:00";"52,08";"Geprüft"
"08.06.1983 00:00:00";"52,11";"Geprüft"
"15.06.1983 00:00:00";"52,14";"Geprüft"
"22.06.1983 00:00:00";"52,16";"Geprüft"
"01.07.1983 00:00:00";"52,13";"Geprüft"
"08.07.1983 00:00:00";"52,14";"Geprüft"
"15.07.1983 00:00:00";"52,12";"Geprüft"
"22.07.1983 00:00:00";"52,14";"Geprüft"
"01.08.1983 00:00:00";"52,17";"Geprüft"
"08.08.1983 00:00:00";"52,15";"Geprüft"
"15.08.1983 00:00:00";"52,14";"Geprüft"
"22.08.1983 00:00:00";"52,1";"Geprüft"
"01.09.1983 00:00:00";"52,16";"Geprüft"
"08.09.1983 00:00:00";"52,13";"Geprüft"
"15.09.1983 00:00:00";"52,11";"Geprüft"
"22.09.1983 00:00:00";"52,1";"Geprüft"
"01.10.1983 00:00:00";"52,1";"Geprüft"
"08.10.1983 00:00:00";"52,11";"Geprüft"
"15.10.1983 00:00:00";"52,11";"Geprüft"
"22.10.1983 00:00:00";"52,09";"Geprüft"
"01.11.1983 00:00:00";"52,08";"Geprüft"
"08.11.1983 00:00:00";"52,08";"Geprüft"
"15.11.1983 00:00:00";"52,11";"Geprüft"
"22.11.1983 00:00:00";"52,14";"Geprüft"
"01.12.1983 00:00:00";"52,1";"Geprüft"
"08.12.1983 00:00:00";"52,06";"Geprüft"
"15.12.1983 00:00:00";"52,07";"Geprüft"
"22.12.1983 00:00:00";"52,09";"Geprüft"
"01.01.1984 00:00:00";"52,06";"Geprüft"
"08.01.1984 00:00:00";"52,04";"Geprüft"
"15.01.1984 00:00:00";"52,01";"Geprüft"
"22.01.1984 00:00:00";"52,12";"Geprüft"
"01.02.1984 00:00:00";"52,09";"Geprüft"
"08.02.1984 00:00:00";"52,07";"Geprüft"
"15.02.1984 00:00:00";"52,06";"Geprüft"
"22.02.1984 00:00:00";"52,04";"Geprüft"
"01.03.1984 00:00:00";"52,13";"Geprüft"
"08.03.1984 00:00:00";"52,12";"Geprüft"
"15.03.1984 00:00:00";"52,1";"Geprüft"
"22.03.1984 00:00:00";"52,14";"Geprüft"
"01.04.1984 00:00:00";"52,16";"Geprüft"
"08.04.1984 00:00:00";"52,17";"Geprüft"
"15.04.1984 00:00:00";"52,16";"Geprüft"
"22.04.1984 00:00:00";"52,16";"Geprüft"
"01.05.1984 00:00:00";"52,17";"Geprüft"
"08.05.1984 00:00:00";"52,21";"Geprüft"
"15.05.1984 00:00:00";"52,27";"Geprüft"
"22.05.1984 00:00:00";"52,28";"Geprüft"
"01.06.1984 00:00:00";"52,23";"Geprüft"
"08.06.1984 00:00:00";"52,25";"Geprüft"
"15.06.1984 00:00:00";"52,25";"Geprüft"
"22.06.1984 00:00:00";"52,24";"Geprüft"
"01.07.1984 00:00:00";"52,23";"Geprüft"
"08.07.1984 00:00:00";"52,21";"Geprüft"
"15.07.1984 00:00:00";"52,2";"Geprüft"
"22.07.1984 00:00:00";"52,19";"Geprüft"
"01.08.1984 00:00:00";"52,2";"Geprüft"
"08.08.1984 00:00:00";"52,19";"Geprüft"
"15.08.1984 00:00:00";"52,19";"Geprüft"
"22.08.1984 00:00:00";"52,16";"Geprüft"
"01.09.1984 00:00:00";"52,17";"Geprüft"
"08.09.1984 00:00:00";"52,18";"Geprüft"
"15.09.1984 00:00:00";"52,17";"Geprüft"
"22.09.1984 00:00:00";"52,17";"Geprüft"
"01.10.1984 00:00:00";"52,1";"Geprüft"
"08.10.1984 00:00:00";"52,09";"Geprüft"
"15.10.1984 00:00:00";"52,08";"Geprüft"
"22.10.1984 00:00:00";"52,06";"Geprüft"
"01.11.1984 00:00:00";"52,11";"Geprüft"
"08.11.1984 00:00:00";"52,13";"Geprüft"
"15.11.1984 00:00:00";"52,13";"Geprüft"
"22.11.1984 00:00:00";"52,12";"Geprüft"
"01.12.1984 00:00:00";"52,08";"Geprüft"
"08.12.1984 00:00:00";"52,08";"Geprüft"
"15.12.1984 00:00:00";"52,09";"Geprüft"
"22.12.1984 00:00:00";"52,05";"Geprüft"
"01.01.1985 00:00:00";"52,19";"Geprüft"
"08.01.1985 00:00:00";"52,02";"Geprüft"
"15.01.1985 00:00:00";"52,07";"Geprüft"
"22.01.1985 00:00:00";"52,14";"Geprüft"
"01.02.1985 00:00:00";"52,04";"Geprüft"
"08.02.1985 00:00:00";"52,1";"Geprüft"
"15.02.1985 00:00:00";"52,15";"Geprüft"
"22.02.1985 00:00:00";"52,22";"Geprüft"
"01.03.1985 00:00:00";"52,15";"Geprüft"
"08.03.1985 00:00:00";"52,06";"Geprüft"
"15.03.1985 00:00:00";"52,07";"Geprüft"
"22.03.1985 00:00:00";"52,1";"Geprüft"
"01.04.1985 00:00:00";"52,07";"Geprüft"
"08.04.1985 00:00:00";"52,06";"Geprüft"
"15.04.1985 00:00:00";"52,06";"Geprüft"
"22.04.1985 00:00:00";"52,06";"Geprüft"
"01.05.1985 00:00:00";"52,08";"Geprüft"
"08.05.1985 00:00:00";"52,08";"Geprüft"
"15.05.1985 00:00:00";"52,11";"Geprüft"
"22.05.1985 00:00:00";"52,13";"Geprüft"
"01.06.1985 00:00:00";"52,12";"Geprüft"
"08.06.1985 00:00:00";"52,11";"Geprüft"
"15.06.1985 00:00:00";"52,1";"Geprüft"
"22.06.1985 00:00:00";"52,09";"Geprüft"
"01.07.1985 00:00:00";"52,07";"Geprüft"
"08.07.1985 00:00:00";"52,05";"Geprüft"
"15.07.1985 00:00:00";"52,09";"Geprüft"
"22.07.1985 00:00:00";"52,12";"Geprüft"
"01.08.1985 00:00:00";"52,11";"Geprüft"
"08.08.1985 00:00:00";"52,11";"Geprüft"
"15.08.1985 00:00:00";"52,09";"Geprüft"
"22.08.1985 00:00:00";"52,07";"Geprüft"
"01.09.1985 00:00:00";"52,02";"Geprüft"
"08.09.1985 00:00:00";"52,04";"Geprüft"
"15.09.1985 00:00:00";"52,06";"Geprüft"
"22.09.1985 00:00:00";"52,07";"Geprüft"
"01.10.1985 00:00:00";"52,01";"Geprüft"
"08.10.1985 00:00:00";"52,02";"Geprüft"
"15.10.1985 00:00:00";"52,02";"Geprüft"
"22.10.1985 00:00:00";"52,03";"Geprüft"
"01.11.1985 00:00:00";"52,1";"Geprüft"
"08.11.1985 00:00:00";"52,01";"Geprüft"
"15.11.1985 00:00:00";"51,94";"Geprüft"
"22.11.1985 00:00:00";"51,98";"Geprüft"
"01.12.1985 00:00:00";"52,04";"Geprüft"
"08.12.1985 00:00:00";"52,03";"Geprüft"
"15.12.1985 00:00:00";"52,04";"Geprüft"
"22.12.1985 00:00:00";"52,04";"Geprüft"
"01.01.1986 00:00:00";"51,92";"Geprüft"
"08.01.1986 00:00:00";"51,91";"Geprüft"
"15.01.1986 00:00:00";"51,9";"Geprüft"
"22.01.1986 00:00:00";"51,86";"Geprüft"
"01.02.1986 00:00:00";"51,83";"Geprüft"
"08.02.1986 00:00:00";"51,81";"Geprüft"
"15.02.1986 00:00:00";"51,84";"Geprüft"
"22.02.1986 00:00:00";"51,87";"Geprüft"
"01.03.1986 00:00:00";"51,81";"Geprüft"
"08.03.1986 00:00:00";"51,8";"Geprüft"
"15.03.1986 00:00:00";"51,78";"Geprüft"
"22.03.1986 00:00:00";"51,75";"Geprüft"
"01.04.1986 00:00:00";"51,76";"Geprüft"
"08.04.1986 00:00:00";"51,75";"Geprüft"
"15.04.1986 00:00:00";"51,81";"Geprüft"
"22.04.1986 00:00:00";"51,79";"Geprüft"
"01.05.1986 00:00:00";"51,76";"Geprüft"
"08.05.1986 00:00:00";"51,81";"Geprüft"
"15.05.1986 00:00:00";"51,84";"Geprüft"
"22.05.1986 00:00:00";"51,86";"Geprüft"
"01.06.1986 00:00:00";"51,81";"Geprüft"
"08.06.1986 00:00:00";"51,78";"Geprüft"
"15.06.1986 00:00:00";"51,85";"Geprüft"
"22.06.1986 00:00:00";"51,9";"Geprüft"
"01.07.1986 00:00:00";"51,96";"Geprüft"
"08.07.1986 00:00:00";"52";"Geprüft"
"15.07.1986 00:00:00";"52,06";"Geprüft"
"22.07.1986 00:00:00";"52,1";"Geprüft"
"01.08.1986 00:00:00";"52,09";"Geprüft"
"08.08.1986 00:00:00";"52,08";"Geprüft"
"15.08.1986 00:00:00";"52,11";"Geprüft"
"22.08.1986 00:00:00";"52,13";"Geprüft"
"01.09.1986 00:00:00";"52,19";"Geprüft"
"08.09.1986 00:00:00";"52,18";"Geprüft"
"15.09.1986 00:00:00";"52,16";"Geprüft"
"22.09.1986 00:00:00";"52,13";"Geprüft"
"01.10.1986 00:00:00";"52,12";"Geprüft"
"08.10.1986 00:00:00";"52,12";"Geprüft"
"15.10.1986 00:00:00";"52,1";"Geprüft"
"22.10.1986 00:00:00";"52,15";"Geprüft"
"01.11.1986 00:00:00";"52,09";"Geprüft"
"08.11.1986 00:00:00";"52,06";"Geprüft"
"15.11.1986 00:00:00";"52,11";"Geprüft"
"22.11.1986 00:00:00";"52,09";"Geprüft"
"01.12.1986 00:00:00";"52,06";"Geprüft"
"08.12.1986 00:00:00";"52,07";"Geprüft"
"15.12.1986 00:00:00";"52,06";"Geprüft"
