"Zeitpunkt";"Wasserstand(NHN) [mNHN]";"Hinweise"
"08.11.1981 00:00:00";"40,31";"Geprüft"
"15.11.1981 00:00:00";"40,32";"Geprüft"
"22.11.1981 00:00:00";"40,36";"Geprüft"
"01.12.1981 00:00:00";"40,32";"Geprüft"
"08.12.1981 00:00:00";"40,42";"Geprüft"
"15.12.1981 00:00:00";"40,43";"Geprüft"
"22.12.1981 00:00:00";"40,4";"Geprüft"
"01.01.1982 00:00:00";"40,39";"Geprüft"
"08.01.1982 00:00:00";"40,41";"Geprüft"
"15.01.1982 00:00:00";"40,39";"Geprüft"
"22.01.1982 00:00:00";"40,4";"Geprüft"
"01.02.1982 00:00:00";"40,44";"Geprüft"
"08.02.1982 00:00:00";"40,42";"Geprüft"
"15.02.1982 00:00:00";"40,44";"Geprüft"
"22.02.1982 00:00:00";"40,43";"Geprüft"
"01.03.1982 00:00:00";"40,45";"Geprüft"
"08.03.1982 00:00:00";"40,43";"Geprüft"
"15.03.1982 00:00:00";"40,48";"Geprüft"
"22.03.1982 00:00:00";"40,48";"Geprüft"
"01.04.1982 00:00:00";"40,5";"Geprüft"
"08.04.1982 00:00:00";"40,52";"Geprüft"
"15.04.1982 00:00:00";"40,51";"Geprüft"
"22.04.1982 00:00:00";"40,48";"Geprüft"
"01.05.1982 00:00:00";"40,46";"Geprüft"
"08.05.1982 00:00:00";"40,46";"Geprüft"
"15.05.1982 00:00:00";"40,43";"Geprüft"
"22.05.1982 00:00:00";"40,42";"Geprüft"
"01.06.1982 00:00:00";"40,37";"Geprüft"
"08.06.1982 00:00:00";"40,37";"Geprüft"
"15.06.1982 00:00:00";"40,33";"Geprüft"
"22.06.1982 00:00:00";"40,29";"Geprüft"
"01.07.1982 00:00:00";"40,28";"Geprüft"
"08.07.1982 00:00:00";"40,27";"Geprüft"
"15.07.1982 00:00:00";"40,27";"Geprüft"
"22.07.1982 00:00:00";"40,19";"Geprüft"
"01.08.1982 00:00:00";"40,1";"Geprüft"
"08.08.1982 00:00:00";"40,05";"Geprüft"
"15.08.1982 00:00:00";"40,08";"Geprüft"
"22.08.1982 00:00:00";"40,07";"Geprüft"
"01.09.1982 00:00:00";"40,07";"Geprüft"
"08.09.1982 00:00:00";"40,07";"Geprüft"
"15.09.1982 00:00:00";"40,05";"Geprüft"
"22.09.1982 00:00:00";"40,04";"Geprüft"
"01.10.1982 00:00:00";"39,99";"Geprüft"
"08.10.1982 00:00:00";"40";"Geprüft"
"15.10.1982 00:00:00";"39,98";"Geprüft"
"22.10.1982 00:00:00";"39,98";"Geprüft"
"01.11.1982 00:00:00";"39,96";"Geprüft"
