"Zeitpunkt";"Wasserstand(NHN) [mNHN]";"Hinweise"
"01.11.1970 00:00:00";"55,78";"Geprüft"
"08.11.1970 00:00:00";"55,78";"Geprüft"
"15.11.1970 00:00:00";"55,78";"Geprüft"
"22.11.1970 00:00:00";"55,8";"Geprüft"
"01.12.1970 00:00:00";"55,8";"Geprüft"
"08.12.1970 00:00:00";"55,81";"Geprüft"
"15.12.1970 00:00:00";"55,81";"Geprüft"
"22.12.1970 00:00:00";"55,81";"Geprüft"
"01.02.1971 00:00:00";"55,66";"Geprüft"
"08.02.1971 00:00:00";"55,66";"Geprüft"
"15.02.1971 00:00:00";"55,65";"Geprüft"
"22.02.1971 00:00:00";"55,64";"Geprüft"
"01.03.1971 00:00:00";"55,64";"Geprüft"
"08.03.1971 00:00:00";"55,68";"Geprüft"
"15.03.1971 00:00:00";"55,67";"Geprüft"
"22.03.1971 00:00:00";"55,69";"Geprüft"
"01.04.1971 00:00:00";"55,71";"Geprüft"
"08.04.1971 00:00:00";"55,71";"Geprüft"
"15.04.1971 00:00:00";"55,61";"Geprüft"
"22.04.1971 00:00:00";"55,62";"Geprüft"
"01.05.1971 00:00:00";"55,62";"Geprüft"
"08.05.1971 00:00:00";"55,58";"Geprüft"
"15.05.1971 00:00:00";"55,56";"Geprüft"
"22.05.1971 00:00:00";"55,55";"Geprüft"
"01.06.1971 00:00:00";"55,52";"Geprüft"
"08.06.1971 00:00:00";"55,53";"Geprüft"
"15.06.1971 00:00:00";"55,53";"Geprüft"
"22.06.1971 00:00:00";"55,52";"Geprüft"
"01.07.1971 00:00:00";"55,53";"Geprüft"
"08.07.1971 00:00:00";"55,52";"Geprüft"
"15.07.1971 00:00:00";"55,52";"Geprüft"
"22.07.1971 00:00:00";"55,52";"Geprüft"
"01.08.1971 00:00:00";"55,48";"Geprüft"
"08.08.1971 00:00:00";"55,48";"Geprüft"
"15.08.1971 00:00:00";"55,49";"Geprüft"
"22.08.1971 00:00:00";"55,43";"Geprüft"
"01.09.1971 00:00:00";"55,44";"Geprüft"
"08.09.1971 00:00:00";"55,43";"Geprüft"
"15.09.1971 00:00:00";"55,46";"Geprüft"
"22.09.1971 00:00:00";"55,47";"Geprüft"
"01.10.1971 00:00:00";"55,47";"Geprüft"
"08.10.1971 00:00:00";"55,47";"Geprüft"
"15.10.1971 00:00:00";"55,47";"Geprüft"
"22.10.1971 00:00:00";"55,47";"Geprüft"
"01.11.1975 00:00:00";"55,35";"Geprüft"
"08.11.1975 00:00:00";"55,35";"Geprüft"
"15.11.1975 00:00:00";"55,36";"Geprüft"
"22.11.1975 00:00:00";"55,36";"Geprüft"
"01.12.1975 00:00:00";"55,38";"Geprüft"
"08.12.1975 00:00:00";"55,39";"Geprüft"
"15.12.1975 00:00:00";"55,38";"Geprüft"
"22.12.1975 00:00:00";"55,4";"Geprüft"
"01.02.1976 00:00:00";"55,44";"Geprüft"
"08.02.1976 00:00:00";"55,48";"Geprüft"
"15.02.1976 00:00:00";"55,49";"Geprüft"
"22.02.1976 00:00:00";"55,5";"Geprüft"
"01.03.1976 00:00:00";"55,44";"Geprüft"
"08.03.1976 00:00:00";"55,48";"Geprüft"
"15.03.1976 00:00:00";"55,49";"Geprüft"
"22.03.1976 00:00:00";"55,46";"Geprüft"
"01.11.1978 00:00:00";"55,34";"Geprüft"
"08.11.1978 00:00:00";"55,33";"Geprüft"
"15.11.1978 00:00:00";"55,32";"Geprüft"
"22.11.1978 00:00:00";"55,31";"Geprüft"
"01.12.1978 00:00:00";"55,3";"Geprüft"
"08.12.1978 00:00:00";"55,31";"Geprüft"
"15.12.1978 00:00:00";"55,32";"Geprüft"
"22.12.1978 00:00:00";"55,33";"Geprüft"
"01.01.1979 00:00:00";"55,35";"Geprüft"
"08.01.1979 00:00:00";"55,37";"Geprüft"
"15.01.1979 00:00:00";"55,39";"Geprüft"
"22.01.1979 00:00:00";"55,41";"Geprüft"
"01.02.1979 00:00:00";"55,41";"Geprüft"
"08.02.1979 00:00:00";"55,4";"Geprüft"
"15.02.1979 00:00:00";"55,39";"Geprüft"
"22.02.1979 00:00:00";"55,37";"Geprüft"
"01.03.1979 00:00:00";"55,4";"Geprüft"
"08.03.1979 00:00:00";"55,44";"Geprüft"
"15.03.1979 00:00:00";"55,48";"Geprüft"
"22.03.1979 00:00:00";"55,52";"Geprüft"
"01.04.1979 00:00:00";"55,54";"Geprüft"
"08.04.1979 00:00:00";"55,52";"Geprüft"
"15.04.1979 00:00:00";"55,51";"Geprüft"
"22.04.1979 00:00:00";"55,5";"Geprüft"
"01.05.1979 00:00:00";"55,51";"Geprüft"
"08.05.1979 00:00:00";"55,52";"Geprüft"
"15.05.1979 00:00:00";"55,53";"Geprüft"
"22.05.1979 00:00:00";"55,52";"Geprüft"
"01.06.1979 00:00:00";"55,51";"Geprüft"
"08.06.1979 00:00:00";"55,5";"Geprüft"
"15.06.1979 00:00:00";"55,49";"Geprüft"
"22.06.1979 00:00:00";"55,48";"Geprüft"
"01.07.1979 00:00:00";"55,46";"Geprüft"
"08.07.1979 00:00:00";"55,47";"Geprüft"
"15.07.1979 00:00:00";"55,48";"Geprüft"
"22.07.1979 00:00:00";"55,49";"Geprüft"
"01.08.1979 00:00:00";"55,51";"Geprüft"
"08.08.1979 00:00:00";"55,52";"Geprüft"
"15.08.1979 00:00:00";"55,51";"Geprüft"
"22.08.1979 00:00:00";"55,5";"Geprüft"
"01.09.1979 00:00:00";"55,48";"Geprüft"
"08.09.1979 00:00:00";"55,46";"Geprüft"
"15.09.1979 00:00:00";"55,45";"Geprüft"
"22.09.1979 00:00:00";"55,44";"Geprüft"
