date,gw_level
2000-01-02,97.84
2000-01-09,97.84
2000-01-16,97.85
2000-01-23,97.85
2000-01-30,
2000-02-06,97.87
2000-02-13,97.88
2000-02-20,97.92
2000-02-27,97.95
2000-03-05,97.99
2000-03-12,98.02
2000-03-19,98.16
2000-03-26,98.24
2000-04-02,98.25
2000-04-09,98.24
2000-04-16,98.24
2000-04-23,98.23
2000-04-30,
2000-05-07,98.23
2000-05-14,98.21
2000-05-21,98.19
2000-05-28,98.16
2000-06-04,98.13
2000-06-11,98.11
2000-06-18,98.1
2000-06-25,98.08
2000-07-02,98.06
2000-07-09,98.04
2000-07-16,98.02
2000-07-23,97.99
2000-07-30,
2000-08-06,97.96
2000-08-13,97.95
2000-08-20,97.93
2000-08-27,97.9
2000-09-03,97.89
2000-09-10,97.88
2000-09-17,97.88
2000-09-24,97.87
2000-10-01,97.85
2000-10-08,97.83
2000-10-15,97.82
2000-10-22,97.81
2000-10-29,
2000-11-05,97.8
2000-11-12,97.79
2000-11-19,97.78
2000-11-26,97.77
2000-12-03,97.77
2000-12-10,97.77
2000-12-17,97.76
2000-12-24,97.76
2000-12-31,
2001-01-07,97.75
2001-01-14,97.75
2001-01-21,97.76
2001-01-28,97.77
2001-02-04,97.77
2001-02-11,97.78
2001-02-18,97.78
2001-02-25,97.79
2001-03-04,97.78
2001-03-11,97.78
2001-03-18,97.82
2001-03-25,97.85
2001-04-01,97.87
2001-04-08,97.9
2001-04-15,97.93
2001-04-22,97.96
2001-04-29,
2001-05-06,97.94
2001-05-13,97.95
2001-05-20,97.95
2001-05-27,97.92
2001-06-03,97.91
2001-06-10,97.88
2001-06-17,97.86
2001-06-24,97.84
2001-07-01,97.84
2001-07-08,97.85
2001-07-15,97.85
2001-07-22,97.82
2001-07-29,
2001-08-05,97.81
2001-08-12,97.83
2001-08-19,97.81
2001-08-26,97.79
2001-09-02,97.79
2001-09-09,97.78
2001-09-16,97.77
2001-09-23,97.77
2001-09-30,
2001-10-07,97.77
2001-10-14,97.77
2001-10-21,97.76
2001-10-28,97.75
2001-11-04,97.74
2001-11-11,97.73
2001-11-18,97.74
2001-11-25,97.74
2001-12-02,97.75
2001-12-09,97.76
2001-12-16,97.77
2001-12-23,97.77
2001-12-30,
2002-01-06,97.79
2002-01-13,97.81
2002-01-20,97.83
2002-01-27,97.87
2002-02-03,97.91
2002-02-10,97.95
2002-02-17,98.0
2002-02-24,98.05
2002-03-03,98.1
2002-03-10,98.15
2002-03-17,98.17
2002-03-24,98.18
2002-03-31,
2002-04-07,98.18
2002-04-14,98.18
2002-04-21,98.15
2002-04-28,98.13
2002-05-05,98.14
2002-05-12,98.16
2002-05-19,98.15
2002-05-26,98.14
2002-06-02,98.14
2002-06-09,98.14
2002-06-16,98.13
2002-06-23,98.13
2002-06-30,
2002-07-07,98.11
2002-07-14,98.08
2002-07-21,98.06
2002-07-28,98.05
2002-08-04,98.05
2002-08-11,98.03
2002-08-18,98.26
2002-08-25,98.24
2002-09-01,98.26
2002-09-08,98.24
2002-09-15,98.22
2002-09-22,98.19
2002-09-29,
2002-10-06,98.17
2002-10-13,98.12
2002-10-20,98.14
2002-10-27,98.15
2002-11-03,98.18
2002-11-10,98.2
2002-11-17,98.23
2002-11-24,98.25
2002-12-01,98.28
2002-12-08,98.31
2002-12-15,98.34
2002-12-22,98.36
2002-12-29,
2003-01-05,98.42
2003-01-12,98.48
2003-01-19,98.56
2003-01-26,98.59
2003-02-02,98.62
2003-02-09,98.61
2003-02-16,98.59
2003-02-23,98.56
2003-03-02,98.56
2003-03-09,98.57
2003-03-16,98.57
2003-03-23,98.56
2003-03-30,
2003-04-06,98.55
2003-04-13,98.54
2003-04-20,98.51
2003-04-27,98.49
2003-05-04,98.47
2003-05-11,98.43
2003-05-18,98.39
2003-05-25,98.35
2003-06-01,98.29
2003-06-08,98.22
2003-06-15,98.23
2003-06-22,98.23
2003-06-29,
2003-07-06,98.2
2003-07-13,98.17
2003-07-20,98.14
2003-07-27,98.11
2003-08-03,98.09
2003-08-10,98.06
2003-08-17,98.04
2003-08-24,98.03
2003-08-31,
2003-09-07,98.01
2003-09-14,97.98
2003-09-21,97.96
2003-09-28,97.94
2003-10-05,97.94
2003-10-12,97.93
2003-10-19,97.91
2003-10-26,97.9
2003-11-02,97.89
2003-11-09,97.88
2003-11-16,97.88
2003-11-23,97.86
2003-11-30,
2003-12-07,97.86
2003-12-14,97.86
2003-12-21,97.85
2003-12-28,97.85
2004-01-04,97.86
2004-01-11,97.87
2004-01-18,97.89
2004-01-25,97.9
2004-02-01,97.95
2004-02-08,98.0
2004-02-15,98.05
2004-02-22,98.09
2004-02-29,
2004-03-07,98.11
2004-03-14,98.1
2004-03-21,98.09
2004-03-28,98.07
2004-04-04,98.05
2004-04-11,98.05
2004-04-18,98.04
2004-04-25,98.02
2004-05-02,98.02
2004-05-09,98.03
2004-05-16,98.03
2004-05-23,98.05
2004-05-30,
2004-06-06,98.04
2004-06-13,98.03
2004-06-20,98.02
2004-06-27,98.01
2004-07-04,98.0
2004-07-11,97.98
2004-07-18,97.97
2004-07-25,97.95
2004-08-01,97.93
2004-08-08,97.93
2004-08-15,97.91
2004-08-22,97.89
2004-08-29,
2004-09-05,97.88
2004-09-12,97.87
2004-09-19,97.85
2004-09-26,97.84
2004-10-03,97.83
2004-10-10,97.82
2004-10-17,97.81
2004-10-24,97.81
2004-10-31,
2004-11-07,97.8
2004-11-14,97.81
2004-11-21,97.81
2004-11-28,97.84
2004-12-05,97.85
2004-12-12,97.87
2004-12-19,97.89
2004-12-26,97.91
2005-01-02,97.92
2005-01-09,97.97
2005-01-16,98.02
2005-01-23,98.06
2005-01-30,
2005-02-06,98.1
2005-02-13,98.16
2005-02-20,98.21
2005-02-27,98.23
2005-03-06,98.26
2005-03-13,98.28
2005-03-20,98.29
2005-03-27,98.31
2005-04-03,98.3
2005-04-10,98.31
2005-04-17,98.32
2005-04-24,98.31
2005-05-01,98.29
2005-05-08,98.27
2005-05-15,98.26
2005-05-22,98.25
2005-05-29,
2005-06-05,98.24
2005-06-12,98.21
2005-06-19,98.19
2005-06-26,98.18
2005-07-03,98.17
2005-07-10,98.15
2005-07-17,98.13
2005-07-24,98.13
2005-07-31,
2005-08-07,98.24
2005-08-14,98.31
2005-08-21,98.31
2005-08-28,98.32
2005-09-04,98.32
2005-09-11,98.31
2005-09-18,98.28
2005-09-25,98.27
2005-10-02,98.26
2005-10-09,98.24
2005-10-16,98.22
2005-10-23,98.21
2005-10-30,
2005-11-06,98.2
2005-11-13,98.2
2005-11-20,98.18
2005-11-27,98.18
2005-12-04,98.17
2005-12-11,98.17
2005-12-18,98.19
2005-12-25,98.21
2006-01-01,98.22
2006-01-08,98.22
2006-01-15,98.21
2006-01-22,98.21
2006-01-29,
2006-02-05,98.21
2006-02-12,98.25
2006-02-19,98.3
2006-02-26,98.36
2006-03-05,98.44
2006-03-12,98.43
2006-03-19,98.46
2006-03-26,98.49
2006-04-02,98.53
2006-04-09,98.55
2006-04-16,98.59
2006-04-23,98.61
2006-04-30,
2006-05-07,98.57
2006-05-14,98.54
2006-05-21,98.51
2006-05-28,98.46
2006-06-04,98.44
2006-06-11,98.41
2006-06-18,98.37
2006-06-25,98.33
2006-07-02,98.31
2006-07-09,98.28
2006-07-16,98.24
2006-07-23,98.21
2006-07-30,
2006-08-06,98.18
2006-08-13,98.16
2006-08-20,98.14
2006-08-27,98.11
2006-09-03,98.08
2006-09-10,98.06
2006-09-17,98.04
2006-09-24,98.02
2006-10-01,98.01
2006-10-08,97.98
2006-10-15,97.95
2006-10-22,97.92
2006-10-29,
2006-11-05,97.9
2006-11-12,97.91
2006-11-19,97.93
2006-11-26,97.92
2006-12-03,97.92
2006-12-10,97.91
2006-12-17,97.9
2006-12-24,97.89
2006-12-31,
2007-01-07,97.89
2007-01-14,97.89
2007-01-21,97.9
2007-01-28,97.88
2007-02-04,97.92
2007-02-11,97.96
2007-02-18,97.97
2007-02-25,97.98
2007-03-04,98.0
2007-03-11,98.02
2007-03-18,98.04
2007-03-25,98.06
2007-04-01,98.07
2007-04-08,98.09
2007-04-15,98.07
2007-04-22,98.05
2007-04-29,
2007-05-06,98.05
2007-05-13,98.03
2007-05-20,98.01
2007-05-27,97.99
2007-06-03,97.99
2007-06-10,98.02
2007-06-17,98.06
2007-06-24,98.11
2007-07-01,98.12
2007-07-08,98.11
2007-07-15,98.11
2007-07-22,98.12
2007-07-29,
2007-08-05,98.09
2007-08-12,98.08
2007-08-19,98.07
2007-08-26,98.07
2007-09-02,98.07
2007-09-09,98.06
2007-09-16,98.05
2007-09-23,98.04
2007-09-30,
2007-10-07,98.03
2007-10-14,98.01
2007-10-21,98.01
2007-10-28,98.0
2007-11-04,97.97
2007-11-11,98.01
2007-11-18,97.98
2007-11-25,98.02
2007-12-02,98.13
2007-12-09,98.23
2007-12-16,98.2
2007-12-23,98.27
2007-12-30,
2008-01-06,98.27
2008-01-13,98.29
2008-01-20,98.29
2008-01-27,98.31
2008-02-03,98.4
2008-02-10,98.3
2008-02-17,98.31
2008-02-24,98.29
2008-03-02,98.35
2008-03-09,98.36
2008-03-16,98.37
2008-03-23,98.38
2008-03-30,
2008-04-06,98.33
2008-04-13,98.4
2008-04-20,98.53
2008-04-27,98.58
2008-05-04,98.58
2008-05-11,98.54
2008-05-18,98.49
2008-05-25,98.48
2008-06-01,98.43
2008-06-08,98.4
2008-06-15,98.37
2008-06-22,98.32
2008-06-29,
2008-07-06,98.28
2008-07-13,98.24
2008-07-20,98.24
2008-07-27,98.22
2008-08-03,98.18
2008-08-10,98.16
2008-08-17,98.16
2008-08-24,98.13
2008-08-31,
2008-09-07,98.13
2008-09-14,98.12
2008-09-21,98.1
2008-09-28,98.09
2008-10-05,98.07
2008-10-12,98.06
2008-10-19,98.06
2008-10-26,98.05
2008-11-02,98.09
2008-11-09,98.1
2008-11-16,98.09
2008-11-23,98.11
2008-11-30,
2008-12-07,98.11
2008-12-14,98.11
2008-12-21,98.13
2008-12-28,98.14
2009-01-04,98.17
2009-01-11,98.17
2009-01-18,98.18
2009-01-25,98.22
2009-02-01,98.22
2009-02-08,98.23
2009-02-15,98.24
2009-02-22,98.26
2009-03-01,98.31
2009-03-08,98.35
2009-03-15,98.38
2009-03-22,98.42
2009-03-29,
2009-04-05,98.42
2009-04-12,98.4
2009-04-19,98.42
2009-04-26,98.4
2009-05-03,98.36
2009-05-10,98.32
2009-05-17,98.3
2009-05-24,98.28
2009-05-31,
2009-06-07,98.26
2009-06-14,98.26
2009-06-21,98.24
2009-06-28,98.22
2009-07-05,98.2
2009-07-12,98.21
2009-07-19,98.16
2009-07-26,98.14
2009-08-02,98.11
2009-08-09,98.09
2009-08-16,98.06
2009-08-23,98.06
2009-08-30,
2009-09-06,98.03
2009-09-13,98.01
2009-09-20,97.99
2009-09-27,97.98
2009-10-04,97.96
2009-10-11,97.94
2009-10-18,97.93
2009-10-25,97.94
2009-11-01,97.94
