well_id,region,slope_m_per_year,p_value,tau,mean_level,std_level,total_change_est,count,start_date,end_date,x,y
32471945,Brandenburg,-0.0326820425794506,9.810825958560695e-61,-0.3114245598467218,58.86117389149415,0.5126253089294337,-0.8493304535637124,1249,2000-01-02,2025-12-28,409661.0,5843590.0
33520966,Brandenburg,-0.0093479525360633,6.960195023301009e-31,-0.2198598244452456,7.143247794707299,0.2271767139643292,-0.2429315960912058,1247,2000-01-02,2025-12-28,461245.0,5835400.0
28410213,Brandenburg,-0.0163058035714253,1.422056793637327e-28,-0.2119542928841149,72.28046786004882,0.3879391587233886,-0.4209374999999162,1229,2000-01-02,2025-10-26,337738.0,5894223.0
32454665,Brandenburg,-0.0043080754030246,7.334328331196925e-08,-0.1037626489312682,33.92138980263158,0.2085289785521755,-0.1112138069133993,1216,2000-01-02,2025-10-26,383325.0,5849333.0
36532674,Brandenburg,-0.010120843596059,1.7258014763916825e-14,-0.1463696582619803,21.64104943273906,0.3368800097844703,-0.2630172413793099,1234,2000-01-02,2025-12-28,469092.0,5800301.0
38532839,Brandenburg,-0.0032340220675647,7.59452313555634e-09,-0.1086689954731848,35.55324729480074,0.1579440526804906,-0.0837968099861257,1263,2000-01-30,2025-12-28,475711.0,5781338.0
38539089,Brandenburg,-0.0056715838509318,2.6876427444602423e-46,-0.2786694786182437,32.75529850746268,0.1096360348928492,-0.1438043478260924,1206,2000-01-02,2025-05-11,475513.0,5774620.0
32510209,Brandenburg,-0.0071762496627964,6.307020410275286e-07,-0.0946121258722646,4.230265060240964,0.3707485237943356,-0.1864940774791618,1245,2000-01-02,2025-12-28,449480.0,5849010.0
39549051,Brandenburg,-0.0105117813721905,6.766448683231762e-13,-0.1366386535465839,35.31605368589744,0.4868934337900074,-0.2731768070768869,1248,2000-01-02,2025-12-28,481461.0,5763051.0
31449211,Brandenburg,-0.013483861406245,1.3120064455908428e-68,-0.3299344171449476,35.68484414556962,0.2075179346747958,-0.350414270959829,1264,2000-01-02,2025-12-28,365207.0,5853510.0
35442315,Brandenburg,-0.0180098616627858,5.944756558764585e-29,-0.219125668144328,30.57314195944016,0.358102193952739,-0.4676893576222428,1167,2000-01-02,2025-12-21,365129.0,5811272.0
37511766,Brandenburg,0.0027828571428565,5.97997694680725e-05,0.078672442767547,38.90515691263783,0.2323170269122605,0.0723199999999856,1179,2000-01-02,2025-12-28,450345.0,5791808.0
38532837,Brandenburg,-0.0018327026797982,0.0021053344632519,-0.0593402014717558,35.38188105158731,0.1606145966614007,-0.0474871955143344,1200,2000-01-30,2025-12-28,475709.0,5781344.0
30491504,Brandenburg,-0.0165507989506318,3.446878286121398e-58,-0.3058469019168539,46.30846586345382,0.2848058167460188,-0.430116861435721,1245,2000-01-02,2025-12-28,431585.0,5870144.0
33437091,Brandenburg,-0.0090352504638219,4.2240829414945715e-14,-0.1440904860632058,30.930412621359228,0.2959747342863017,-0.2339393939393941,1236,2000-01-02,2025-11-23,363269.0,5833003.0
31509218,Brandenburg,-0.0286451969322761,8.691417216987519e-39,-0.2512338472497131,2.7842719528178246,0.5703477526802333,-0.7427752502274804,1199,2000-01-02,2025-12-07,441165.0,5856450.0
33520968,Brandenburg,-0.0090008254180922,5.725248251671466e-21,-0.1708070580901802,5.729941410934744,0.2766761963129573,-0.2339105677440973,1350,2000-01-02,2025-12-28,457169.0,5831679.0
37451902,Brandenburg,-0.0082341599430468,2.345599333928897e-26,-0.2024909549373089,34.81525723472668,0.1983700010156884,-0.2139867109634525,1244,2000-01-02,2025-12-28,376948.0,5792602.0
28410225,Brandenburg,-0.0257383087764252,1.435925999834994e-81,-0.3659031518439083,70.94486167615948,0.3439651482015831,-0.6644394618834047,1229,2000-01-02,2025-10-26,338236.0,5893971.0
37530420,Brandenburg,0.0047007722007723,1.6981093675776265e-21,0.1824925777158288,36.237292171105736,0.1517887434112284,0.1221621621621667,1239,2000-01-02,2025-12-28,473611.0,5783229.0
28438014,Brandenburg,-0.0007811163387509,0.0007248997178059,-0.0660208190595421,59.0188341543514,0.0690930246728223,-0.0201646706586786,1218,2000-01-02,2025-10-26,355300.0,5895940.0
31502055,Brandenburg,-0.0026813243282924,5.595540832073094e-35,-0.2412951276985,1.1937121831561732,0.0860980572413136,-0.0696813977389517,1223,2000-01-02,2025-12-28,435155.0,5856876.0
31419709,Brandenburg,-0.0150877796901894,3.1519119374364743e-25,-0.198446108190686,31.986494299674263,0.3670916186487567,-0.3894939759036177,1228,2000-01-02,2025-10-26,336799.0,5855762.0
34512423,Brandenburg,-0.0049283184348119,5.444209254774825e-15,-0.1495439342972108,9.759761712439415,0.1674889495671759,-0.1280755608028336,1238,2000-01-02,2025-12-28,449919.0,5827183.0
35459952,Brandenburg,-0.025373619522622,1.7363139474564107e-105,-0.4162678935240652,35.52554251012146,0.3179321936700292,-0.6594014962593525,1235,2000-01-02,2025-12-28,380473.0,5808563.0
31471812,Brandenburg,0.0026194061962132,1.340074879676369e-09,0.1165146321690891,34.33619741100323,0.1311861736677379,0.0680722891566226,1236,2000-01-02,2025-12-28,405053.0,5851723.0
38431551,Brandenburg,-0.0072672105053721,2.774723274933328e-13,-0.142585804960855,42.442857142857136,0.247556943520051,-0.1863509749303647,1183,2000-01-02,2025-08-24,357965.0,5780915.0
37532740,Brandenburg,-0.0021384660421549,0.0021500041158938,-0.0587273435558805,22.27379449838188,0.1833685692880377,-0.055368852459025,1236,2000-01-02,2025-11-23,475547.0,5789075.0
33455021,Brandenburg,-0.0144940476190455,2.211292821909162e-28,-0.2178451445847852,33.17141313742438,0.3315512693136634,-0.3741666666666144,1157,2000-01-02,2025-10-26,376107.0,5839696.0
37431615,Brandenburg,-0.0057976190476178,2.7542680669620577e-20,-0.1762173776361518,39.121203852327454,0.1505074194976558,-0.1506666666666367,1246,2000-01-02,2025-12-28,358656.0,5788816.0
32392350,Brandenburg,-0.0047060718312126,0.0029453775724319,-0.0565578467289275,24.679625302175666,0.4114253155830204,-0.1222998872604257,1241,2000-01-02,2025-12-28,313706.0,5844906.0
31502039,Brandenburg,-0.0105705803103637,2.6223558500765212e-96,-0.3905745104993749,1.0113022393620985,0.1380743801451627,-0.2716660845267202,1278,2000-01-02,2025-09-14,437891.0,5852176.0
42536002,Brandenburg,-0.00103323903819,0.2515152327145546,-0.0229148067893072,69.74746902654867,0.2454765302768302,-0.0258811881188251,1130,2000-11-05,2025-11-23,473566.0,5733638.0
32512151,Brandenburg,-0.0121628371628371,7.009719946973382e-46,-0.2728642984865717,2.517920065252855,0.2279499318369399,-0.3160839160839163,1226,2000-01-02,2025-12-28,445690.0,5845050.0
32464601,Brandenburg,-0.0033496114763282,0.0039385234762542,-0.0550826243588502,47.20962287104623,0.2855838055704223,-0.0864708736763833,1233,2000-01-02,2025-10-26,397356.0,5849833.0
29490617,Brandenburg,-0.0164325911565618,8.499261931760984e-45,-0.2578825504686484,53.4753609192922,0.3520565159497957,-0.4270449151487615,1324,2000-01-02,2025-12-28,430903.0,5873838.0
32502105,Brandenburg,-0.0077661129568106,1.843173443079232e-22,-0.1915596593112923,1.3681041844577282,0.2200395727344705,-0.2018232558139533,1171,2000-01-02,2025-12-28,442236.0,5849657.0
35522580,Brandenburg,-0.020529524613698,2.2555547979779375e-44,-0.2661291702582102,44.9144751125996,0.3793598252124973,-0.5335147094680948,1237,2000-01-02,2025-12-28,464255.0,5805995.0
33442430,Brandenburg,-0.004738719907741,4.249316726400431e-09,-0.1157289312449081,31.2882461406518,0.1977630873764696,-0.123148335015136,1166,2000-01-02,2025-12-28,373328.0,5830176.0
31439300,Brandenburg,-0.0099831450437316,2.657775252904223e-43,-0.2645314415141029,35.189849593495936,0.1870750407558915,-0.2577168367346914,1230,2000-01-02,2025-10-26,360350.0,5856778.0
31464501,Brandenburg,-0.0114867188390016,3.042677906086211e-62,-0.3124126087693399,38.30807469142708,0.2008698872525532,-0.2985131696640757,1277,2000-01-02,2025-12-28,392781.0,5857533.0
32502102,Brandenburg,-0.0064417989417989,5.324855379007399e-19,-0.1748250713340747,3.5288936170212764,0.218807525838379,-0.1674074074074075,1175,2000-01-02,2025-12-28,441380.0,5840425.0
31512063,Brandenburg,-0.0113062993344683,2.19193347826595e-19,-0.1717781667214914,3.4457894736842105,0.322847785373813,-0.2938244853737807,1235,2000-01-02,2025-12-28,447386.0,5851743.0
39506107,Brandenburg,-0.0115485771773498,4.0475336668261197e-32,-0.2180209272541957,48.80399569247546,0.3328102908329666,-0.3001207243460772,1310,2000-01-02,2025-12-28,434637.77,5762717.03
33470959,Brandenburg,-0.0095615183246072,3.3391599430954503e-20,-0.1750007634976743,59.0746233974359,0.2544076563439201,-0.2484816753926669,1248,2000-01-02,2025-12-28,400734.0,5834179.0
31502037,Brandenburg,-0.0098619293078055,4.1902609509847184e-20,-0.176873367774363,2.770658436213992,0.2768578444802124,-0.2562886597938141,1215,2000-01-02,2025-12-28,443199.0,5852723.0
37501761,Brandenburg,-0.0054663265306122,2.1013567978598656e-07,-0.0999986996816252,39.867421746293246,0.2789345315148612,-0.1420571428571421,1214,2000-01-02,2025-12-28,432592.0,5786345.0
32512169,Brandenburg,-0.0079967159277504,1.3833043796790728e-18,-0.167412200847878,3.0658507223113967,0.2719262012680561,-0.2078160919540231,1246,2000-01-02,2025-12-28,448691.0,5845955.0
30429666,Brandenburg,-0.0072838107324147,5.490990400208463e-06,-0.0894502360285238,42.84831751509922,0.3867670575683183,-0.1878934010152274,1159,2000-01-02,2025-10-19,351102.0,5867160.0
36422930,Brandenburg,-0.0034972232860973,9.753249456309129e-08,-0.103450504844472,31.55606400665004,0.1775331752718386,-0.0908847184986608,1203,2000-01-02,2025-12-28,347097.0,5800827.0
40476206,Brandenburg,-0.005610599078341,5.599334220771533e-11,-0.1249111852303354,56.88248592115848,0.2452421242776399,-0.1458064516129038,1243,2000-01-02,2025-12-28,406295.0,5756039.0
39431452,Brandenburg,-0.0059589414066981,7.857899300470527e-23,-0.1883665320911425,49.813641875505255,0.1599795822432354,-0.1548590604582576,1237,2000-01-02,2025-12-28,359440.0,5773971.0
36442210,Brandenburg,-0.0026689806357324,3.061302841983468e-07,-0.1007255393453142,29.56822250639385,0.1567623701242843,-0.0693606138107402,1173,2000-01-02,2025-12-28,367705.0,5807159.0
39549066,Brandenburg,0.0028983966467942,0.0867535536947874,0.033007478114482,31.37356798193488,0.4587336320333299,0.0753226036177163,1202,2000-01-02,2025-12-28,481560.0,5768584.0
30491505,Brandenburg,-0.0247398399014777,3.0473172906597293e-118,-0.4405547960165381,44.37404512489928,0.275656850107676,-0.6429310344827553,1241,2000-01-02,2025-12-28,431887.0,5868812.0
33442498,Brandenburg,0.0,0.4688890935493283,-0.0142062688781085,29.445190033783785,0.1472875022289288,0.0,1184,2000-01-02,2025-12-28,364544.0,5830887.0
38532836,Brandenburg,-0.0212171901893284,5.416220272977943e-117,-0.4388783469443926,37.61987086359967,0.2485171184087567,-0.5513855421686665,1239,2000-01-02,2025-12-28,474632.0,5777352.0
31502053,Brandenburg,-0.0037538540596094,1.4875191918249428e-75,-0.3605517221999572,1.2434290401968826,0.0840234478972132,-0.0975539568345324,1219,2000-01-02,2025-12-28,434926.0,5856178.0
