cluster_id,well_count,mean_slope,median_slope,std_slope,pct_significant,mean_total_change
0,129,-0.016987773662661285,-0.0126670668267305,0.014078103328042444,0.9689922480620154,-0.43997460325453325
1,34,-0.00678221401163822,-0.0050782365278574,0.006060666575142527,0.8823529411764706,-0.1759000000132152
2,59,-0.005929963518599227,-0.0030098856491675,0.01226401116197323,0.8813559322033898,-0.1534316010743165
3,71,-0.006946656901443677,-0.0054924812030083,0.0073466535278262635,0.9295774647887324,-0.18038467438070718
4,100,-0.010502243494658337,-0.008885795518534249,0.008650978876847588,0.99,-0.2721444808836251
5,11,-0.008140336585320764,-0.0084219186440319,0.007342341566917367,1.0,-0.20937807474352163
6,23,-0.0024122192654075394,-0.0049536618444848,0.008627875320827469,0.9130434782608695,-0.062496796423045106
7,32,-0.005590895470407737,-0.004623425129666851,0.006477996282533113,0.90625,-0.14503298193161576
8,13,-0.001448103390826877,-0.0020250415819627,0.006206579941571672,0.8461538461538461,-0.037602763473062635
9,39,-0.006175788291029869,-0.0054828621466101,0.006196182455127069,0.8717948717948718,-0.1595868993650568
10,6,-0.006525152537917733,-0.0034122181347506497,0.010038935211528405,0.8333333333333334,-0.16957357396280792
11,35,-0.009349009807603654,-0.0081761294261293,0.005952763821764427,0.9714285714285714,-0.24294509731498626
12,57,-0.009909896688794571,-0.0076088376527082,0.01023464063862881,0.9473684210526315,-0.25710907424925467
13,62,-0.00626731608099093,-0.00686230989296965,0.009692814642921576,0.967741935483871,-0.16239106423080607
14,486,-0.006174136005478771,-0.004280604561927651,0.01130273399544443,0.9012345679012346,-0.16012576618490426
15,27,-0.007530685441719566,-0.0045071191267203,0.009008576336632202,0.9629629629629629,-0.19556142796516449
16,15,-0.03126551068113688,-0.0105117813721905,0.07365501630446965,0.8666666666666667,-0.7935149634837341
17,25,-0.013827985120243264,-0.0095158488927481,0.013119143234756084,0.96,-0.3562059365572249
18,20,-0.03389158679361741,-0.0263592076899787,0.025783875204687733,1.0,-0.8777807339291133
19,4,-0.025882480525235525,-0.029895257013197396,0.00926440703155807,1.0,-0.6726256129925695
20,18,-0.010026127514216422,-0.004207618750464701,0.01875015215970164,0.8888888888888888,-0.25829532031703445
21,5,-0.01585986661725376,-0.0214355212355209,0.009278805018411454,1.0,-0.4121611332812406
22,11,-0.01725337855827319,-0.0117255216693416,0.013496057646539371,0.9090909090909091,-0.44546348829585675
23,1,-0.0097574888324428,-0.0097574888324428,,1.0,-0.2535744941753526
24,6,0.04972024320176783,-0.0013082671600642502,0.12796415662379412,0.6666666666666666,1.2464642297050008
