well_id,source,cluster_id,orig_clust
6743.0,Berlin,1,2.0
15161.0,Berlin,1,2.0
15163.0,Berlin,1,2.0
15180.0,Berlin,1,2.0
36471134,Brandenburg,1,2.0
36471402,Brandenburg,1,2.0
36471629,Brandenburg,1,2.0
36475116,Brandenburg,1,2.0
36480290,Brandenburg,1,2.0
36480941,Brandenburg,1,2.0
36481586,Brandenburg,1,2.0
36485178,Brandenburg,1,2.0
36485179,Brandenburg,1,2.0
36491640,Brandenburg,1,2.0
37465064,Brandenburg,1,2.0
37465070,Brandenburg,1,2.0
37471002,Brandenburg,1,2.0
37471642,Brandenburg,1,2.0
37471699,Brandenburg,1,2.0
37471707,Brandenburg,1,2.0
37471708,Brandenburg,1,2.0
37475123,Brandenburg,1,2.0
37475124,Brandenburg,1,2.0
37480996,Brandenburg,1,2.0
37480997,Brandenburg,1,2.0
37481772,Brandenburg,1,2.0
37485035,Brandenburg,1,2.0
37485037,Brandenburg,1,2.0
37490241,Brandenburg,1,2.0
37490276,Brandenburg,1,2.0
37501761,Brandenburg,1,2.0
37501762,Brandenburg,1,2.0
37501764,Brandenburg,1,2.0
37501769,Brandenburg,1,2.0
37505011,Brandenburg,1,2.0
38460575,Brandenburg,1,2.0
38461266,Brandenburg,1,2.0
38461267,Brandenburg,1,2.0
38461741,Brandenburg,1,2.0
38465203,Brandenburg,1,2.0
38465204,Brandenburg,1,2.0
38465205,Brandenburg,1,2.0
38465206,Brandenburg,1,2.0
38470301,Brandenburg,1,2.0
38470302,Brandenburg,1,2.0
38470312,Brandenburg,1,2.0
38470313,Brandenburg,1,2.0
38470840,Brandenburg,1,2.0
38471052,Brandenburg,1,2.0
38471711,Brandenburg,1,2.0
38480325,Brandenburg,1,2.0
38485036,Brandenburg,1,2.0
38490947,Brandenburg,1,2.0
38491759,Brandenburg,1,2.0
39461210,Brandenburg,1,2.0
39461262,Brandenburg,1,2.0
39471202,Brandenburg,1,2.0
39471203,Brandenburg,1,2.0
39471204,Brandenburg,1,2.0
39471208,Brandenburg,1,2.0
35522580,Brandenburg,2,2.0
35522594,Brandenburg,2,2.0
36510539,Brandenburg,2,2.0
36511686,Brandenburg,2,2.0
36515157,Brandenburg,2,2.0
36521678,Brandenburg,2,2.0
36522652,Brandenburg,2,2.0
36532655,Brandenburg,2,2.0
36532660,Brandenburg,2,2.0
36532662,Brandenburg,2,2.0
36532663,Brandenburg,2,2.0
36532664,Brandenburg,2,2.0
36532667,Brandenburg,2,2.0
36532674,Brandenburg,2,2.0
36532677,Brandenburg,2,2.0
36532681,Brandenburg,2,2.0
36532682,Brandenburg,2,2.0
36532684,Brandenburg,2,2.0
36532685,Brandenburg,2,2.0
36532699,Brandenburg,2,2.0
37511766,Brandenburg,2,2.0
37520179,Brandenburg,2,2.0
37520272,Brandenburg,2,2.0
37520273,Brandenburg,2,2.0
37520274,Brandenburg,2,2.0
37526002,Brandenburg,2,2.0
37529003,Brandenburg,2,2.0
37529010,Brandenburg,2,2.0
37529019,Brandenburg,2,2.0
37529023,Brandenburg,2,2.0
37529025,Brandenburg,2,2.0
37530165,Brandenburg,2,2.0
37530181,Brandenburg,2,2.0
37530262,Brandenburg,2,2.0
37530420,Brandenburg,2,2.0
37532731,Brandenburg,2,2.0
37532733,Brandenburg,2,2.0
37532735,Brandenburg,2,2.0
37532740,Brandenburg,2,2.0
37539029,Brandenburg,2,2.0
37539033,Brandenburg,2,2.0
37539034,Brandenburg,2,2.0
37539047,Brandenburg,2,2.0
37539048,Brandenburg,2,2.0
37539423,Brandenburg,2,2.0
37539424,Brandenburg,2,2.0
37539427,Brandenburg,2,2.0
37539430,Brandenburg,2,2.0
37539447,Brandenburg,2,2.0
37539448,Brandenburg,2,2.0
37539449,Brandenburg,2,2.0
37539451,Brandenburg,2,2.0
37540417,Brandenburg,2,2.0
38522800,Brandenburg,2,2.0
38525106,Brandenburg,2,2.0
38525107,Brandenburg,2,2.0
38530421,Brandenburg,2,2.0
38532820,Brandenburg,2,2.0
38532823,Brandenburg,2,2.0
38532834,Brandenburg,2,2.0
38532835,Brandenburg,2,2.0
38532836,Brandenburg,2,2.0
38532837,Brandenburg,2,2.0
38532839,Brandenburg,2,2.0
38535103,Brandenburg,2,2.0
38539084,Brandenburg,2,2.0
38539089,Brandenburg,2,2.0
38539090,Brandenburg,2,2.0
38539092,Brandenburg,2,2.0
38540249,Brandenburg,2,2.0
38549040,Brandenburg,2,2.0
39530277,Brandenburg,2,2.0
39532923,Brandenburg,2,2.0
39539079,Brandenburg,2,2.0
39540250,Brandenburg,2,2.0
39549064,Brandenburg,2,2.0
39549065,Brandenburg,2,2.0
39549066,Brandenburg,2,2.0
39549076,Brandenburg,2,2.0
39549077,Brandenburg,2,2.0
36441935,Brandenburg,3,2.0
36441936,Brandenburg,3,2.0
36441946,Brandenburg,3,2.0
36451340,Brandenburg,3,2.0
36451341,Brandenburg,3,2.0
36451342,Brandenburg,3,2.0
36451355,Brandenburg,3,2.0
36451921,Brandenburg,3,2.0
36451938,Brandenburg,3,2.0
36451939,Brandenburg,3,2.0
37421572,Brandenburg,3,2.0
37422820,Brandenburg,3,2.0
37423400,Brandenburg,3,2.0
37431579,Brandenburg,3,2.0
37431606,Brandenburg,3,2.0
37431608,Brandenburg,3,2.0
37431611,Brandenburg,3,2.0
37431614,Brandenburg,3,2.0
37431615,Brandenburg,3,2.0
37431620,Brandenburg,3,2.0
37431651,Brandenburg,3,2.0
37441682,Brandenburg,3,2.0
37441690,Brandenburg,3,2.0
37441817,Brandenburg,3,2.0
37441837,Brandenburg,3,2.0
37441838,Brandenburg,3,2.0
37441840,Brandenburg,3,2.0
37441853,Brandenburg,3,2.0
37441878,Brandenburg,3,2.0
37441880,Brandenburg,3,2.0
37441882,Brandenburg,3,2.0
37451300,Brandenburg,3,2.0
37451320,Brandenburg,3,2.0
37451330,Brandenburg,3,2.0
37451332,Brandenburg,3,2.0
37451344,Brandenburg,3,2.0
37451400,Brandenburg,3,2.0
37451900,Brandenburg,3,2.0
37451901,Brandenburg,3,2.0
37451902,Brandenburg,3,2.0
37451906,Brandenburg,3,2.0
38421580,Brandenburg,3,2.0
38421581,Brandenburg,3,2.0
38421590,Brandenburg,3,2.0
38421591,Brandenburg,3,2.0
38421592,Brandenburg,3,2.0
38421593,Brandenburg,3,2.0
38431483,Brandenburg,3,2.0
38431487,Brandenburg,3,2.0
38431488,Brandenburg,3,2.0
38431490,Brandenburg,3,2.0
38431515,Brandenburg,3,2.0
38431530,Brandenburg,3,2.0
38431536,Brandenburg,3,2.0
38431551,Brandenburg,3,2.0
38431560,Brandenburg,3,2.0
38431570,Brandenburg,3,2.0
38431580,Brandenburg,3,2.0
38431585,Brandenburg,3,2.0
38441700,Brandenburg,3,2.0
38441701,Brandenburg,3,2.0
38441704,Brandenburg,3,2.0
38441717,Brandenburg,3,2.0
38441727,Brandenburg,3,2.0
38441730,Brandenburg,3,2.0
38441747,Brandenburg,3,2.0
38441748,Brandenburg,3,2.0
38441749,Brandenburg,3,2.0
38441750,Brandenburg,3,2.0
38441774,Brandenburg,3,2.0
38441781,Brandenburg,3,2.0
38441782,Brandenburg,3,2.0
38441783,Brandenburg,3,2.0
38441785,Brandenburg,3,2.0
38451191,Brandenburg,3,2.0
38451286,Brandenburg,3,2.0
38451306,Brandenburg,3,2.0
38451315,Brandenburg,3,2.0
38451325,Brandenburg,3,2.0
38451375,Brandenburg,3,2.0
38451384,Brandenburg,3,2.0
38451389,Brandenburg,3,2.0
38451395,Brandenburg,3,2.0
38460579,Brandenburg,3,2.0
38465201,Brandenburg,3,2.0
39431424,Brandenburg,3,2.0
39431451,Brandenburg,3,2.0
39431452,Brandenburg,3,2.0
39441108,Brandenburg,3,2.0
39441115,Brandenburg,3,2.0
39441116,Brandenburg,3,2.0
39441477,Brandenburg,3,2.0
39441714,Brandenburg,3,2.0
39451151,Brandenburg,3,2.0
39451179,Brandenburg,3,2.0
39451180,Brandenburg,3,2.0
39451252,Brandenburg,3,2.0
39451260,Brandenburg,3,2.0
39451270,Brandenburg,3,2.0
39451280,Brandenburg,3,2.0
39461225,Brandenburg,3,2.0
40441040,Brandenburg,3,2.0
40441041,Brandenburg,3,2.0
40441095,Brandenburg,3,2.0
41456003,Brandenburg,3,2.0
30491505,Brandenburg,4,2.0
30491506,Brandenburg,4,2.0
30491508,Brandenburg,4,2.0
30491527,Brandenburg,4,2.0
31490600,Brandenburg,4,2.0
31491982,Brandenburg,4,2.0
31491988,Brandenburg,4,2.0
31491991,Brandenburg,4,2.0
31491992,Brandenburg,4,2.0
31500622,Brandenburg,4,2.0
31500975,Brandenburg,4,2.0
31502019,Brandenburg,4,2.0
31502022,Brandenburg,4,2.0
31502025,Brandenburg,4,2.0
31502026,Brandenburg,4,2.0
31502029,Brandenburg,4,2.0
31502031,Brandenburg,4,2.0
31502035,Brandenburg,4,2.0
31502036,Brandenburg,4,2.0
31502037,Brandenburg,4,2.0
31502039,Brandenburg,4,2.0
31502044,Brandenburg,4,2.0
31502045,Brandenburg,4,2.0
31502053,Brandenburg,4,2.0
31502055,Brandenburg,4,2.0
31502059,Brandenburg,4,2.0
31502069,Brandenburg,4,2.0
31502075,Brandenburg,4,2.0
31502091,Brandenburg,4,2.0
31506005,Brandenburg,4,2.0
31509214,Brandenburg,4,2.0
31509215,Brandenburg,4,2.0
31509218,Brandenburg,4,2.0
31510212,Brandenburg,4,2.0
31512060,Brandenburg,4,2.0
31512062,Brandenburg,4,2.0
31512063,Brandenburg,4,2.0
31519235,Brandenburg,4,2.0
31519236,Brandenburg,4,2.0
31519237,Brandenburg,4,2.0
32500952,Brandenburg,4,2.0
32502101,Brandenburg,4,2.0
32502102,Brandenburg,4,2.0
32502103,Brandenburg,4,2.0
32502104,Brandenburg,4,2.0
32502105,Brandenburg,4,2.0
32502107,Brandenburg,4,2.0
32502108,Brandenburg,4,2.0
32502110,Brandenburg,4,2.0
32502114,Brandenburg,4,2.0
32502115,Brandenburg,4,2.0
32502116,Brandenburg,4,2.0
32502125,Brandenburg,4,2.0
32502127,Brandenburg,4,2.0
32502128,Brandenburg,4,2.0
32502129,Brandenburg,4,2.0
32502131,Brandenburg,4,2.0
32502137,Brandenburg,4,2.0
32502140,Brandenburg,4,2.0
32502171,Brandenburg,4,2.0
32510209,Brandenburg,4,2.0
32510955,Brandenburg,4,2.0
32512140,Brandenburg,4,2.0
32512144,Brandenburg,4,2.0
32512145,Brandenburg,4,2.0
32512147,Brandenburg,4,2.0
32512148,Brandenburg,4,2.0
32512149,Brandenburg,4,2.0
32512150,Brandenburg,4,2.0
32512151,Brandenburg,4,2.0
32512152,Brandenburg,4,2.0
32512157,Brandenburg,4,2.0
32512166,Brandenburg,4,2.0
32512168,Brandenburg,4,2.0
32512169,Brandenburg,4,2.0
32520960,Brandenburg,4,2.0
32522181,Brandenburg,4,2.0
32522182,Brandenburg,4,2.0
32522183,Brandenburg,4,2.0
32529241,Brandenburg,4,2.0
