well_id,region,slope_m_per_year,p_value,tau,mean_level,std_level,total_change_est,count,start_date,end_date
32471945,Brandenburg,-0.03268204257945069,9.810825958560697e-61,-0.3114245598467218,58.86117389149415,0.5126253089294337,-0.8493304535637124,1249,2000-01-02,2025-12-28
33520966,Brandenburg,-0.009347952536063311,6.960195023301009e-31,-0.2198598244452456,7.143247794707299,0.22717671396432926,-0.24293159609120588,1247,2000-01-02,2025-12-28
28410213,Brandenburg,-0.016305803571425328,1.422056793637327e-28,-0.21195429288411496,72.28046786004882,0.38793915872338863,-0.42093749999991625,1229,2000-01-02,2025-10-26
32454665,Brandenburg,-0.004308075403024618,7.334328331196925e-08,-0.10376264893126824,33.92138980263158,0.2085289785521755,-0.11121380691339937,1216,2000-01-02,2025-10-26
36532674,Brandenburg,-0.010120843596059097,1.7258014763916825e-14,-0.14636965826198037,21.64104943273906,0.33688000978447036,-0.26301724137930993,1234,2000-01-02,2025-12-28
38532839,Brandenburg,-0.0032340220675647125,7.59452313555634e-09,-0.1086689954731848,35.55324729480074,0.15794405268049067,-0.08379680998612578,1263,2000-01-30,2025-12-28
38539089,Brandenburg,-0.005671583850931893,2.6876427444602423e-46,-0.27866947861824376,32.75529850746268,0.10963603489284926,-0.14380434782609242,1206,2000-01-02,2025-05-11
32510209,Brandenburg,-0.007176249662796445,6.307020410275286e-07,-0.0946121258722646,4.230265060240964,0.37074852379433565,-0.18649407747916183,1245,2000-01-02,2025-12-28
39549051,Brandenburg,-0.010511781372190578,6.766448683231762e-13,-0.1366386535465839,35.31605368589744,0.4868934337900074,-0.27317680707688696,1248,2000-01-02,2025-12-28
31449211,Brandenburg,-0.013483861406245003,1.3120064455908428e-68,-0.32993441714494764,35.68484414556962,0.2075179346747958,-0.350414270959829,1264,2000-01-02,2025-12-28
35442315,Brandenburg,-0.01800986166278589,5.944756558764586e-29,-0.219125668144328,30.57314195944016,0.35810219395273907,-0.4676893576222428,1167,2000-01-02,2025-12-21
37511766,Brandenburg,0.002782857142856589,5.97997694680725e-05,0.07867244276754705,38.90515691263783,0.2323170269122605,0.0723199999999856,1179,2000-01-02,2025-12-28
38532837,Brandenburg,-0.0018327026797982516,0.0021053344632519177,-0.05934020147175581,35.38188105158731,0.1606145966614007,-0.04748719551433444,1200,2000-01-30,2025-12-28
