date,gw_level
2000-01-02,
2000-01-09,
2000-01-16,
2000-01-23,
2000-01-30,
2000-02-06,
2000-02-13,
2000-02-20,
2000-02-27,
2000-03-05,
2000-03-12,
2000-03-19,
2000-03-26,
2000-04-02,
2000-04-09,
2000-04-16,
2000-04-23,
2000-04-30,
2000-05-07,
2000-05-14,
2000-05-21,
2000-05-28,
2000-06-04,
2000-06-11,47.35
2000-06-18,
2000-06-25,
2000-07-02,
2000-07-09,
2000-07-16,
2000-07-23,
2000-07-30,
2000-08-06,
2000-08-13,
2000-08-20,
2000-08-27,
2000-09-03,
2000-09-10,
2000-09-17,
2000-09-24,
2000-10-01,
2000-10-08,
2000-10-15,
2000-10-22,
2000-10-29,
2000-11-05,
2000-11-12,
2000-11-19,
2000-11-26,
2000-12-03,46.97
2000-12-10,
2000-12-17,
2000-12-24,
2000-12-31,
2001-01-07,
2001-01-14,
2001-01-21,
2001-01-28,
2001-02-04,
2001-02-11,
2001-02-18,
2001-02-25,
2001-03-04,
2001-03-11,
2001-03-18,
2001-03-25,
2001-04-01,47.09
2001-04-08,
2001-04-15,
2001-04-22,
2001-04-29,
2001-05-06,
2001-05-13,
2001-05-20,
2001-05-27,
2001-06-03,47.14
2001-06-10,47.12
2001-06-17,47.1
2001-06-24,47.1
2001-07-01,47.11
2001-07-08,47.14
2001-07-15,47.12
2001-07-22,47.14
2001-07-29,
2001-08-05,47.04
2001-08-12,47.0
2001-08-19,46.97
2001-08-26,46.94
2001-09-02,47.04
2001-09-09,47.0
2001-09-16,46.97
2001-09-23,46.94
2001-09-30,
2001-10-07,46.95
2001-10-14,46.98
2001-10-21,46.94
2001-10-28,46.95
2001-11-04,46.92
2001-11-11,46.87
2001-11-18,46.9
2001-11-25,46.92
2001-12-02,46.88
2001-12-09,46.92
2001-12-16,46.9
2001-12-23,46.92
2001-12-30,
2002-01-06,46.92
2002-01-13,46.9
2002-01-20,46.88
2002-01-27,46.9
2002-02-03,46.98
2002-02-10,47.01
2002-02-17,47.04
2002-02-24,47.08
2002-03-03,47.18
2002-03-10,47.2
2002-03-17,47.18
2002-03-24,47.14
2002-03-31,
2002-04-07,47.28
2002-04-14,47.42
2002-04-21,47.38
2002-04-28,47.4
2002-05-05,47.54
2002-05-12,47.68
2002-05-19,47.62
2002-05-26,47.58
2002-06-02,47.6
2002-06-09,47.59
2002-06-16,47.58
2002-06-23,47.59
2002-06-30,
2002-07-07,47.58
2002-07-14,47.54
2002-07-21,47.51
2002-07-28,47.46
2002-08-04,47.31
2002-08-11,47.38
2002-08-18,47.34
2002-08-25,47.3
2002-09-01,47.31
2002-09-08,47.29
2002-09-15,47.31
2002-09-22,47.29
2002-09-29,
2002-10-06,47.26
2002-10-13,47.29
2002-10-20,47.28
2002-10-27,47.28
2002-11-03,47.34
2002-11-10,47.31
2002-11-17,47.29
2002-11-24,47.28
2002-12-01,47.39
2002-12-08,47.48
2002-12-15,47.52
2002-12-22,47.49
2002-12-29,
2003-01-05,47.58
2003-01-12,47.6
2003-01-19,47.58
2003-01-26,47.55
2003-02-02,47.61
2003-02-09,47.63
2003-02-16,47.61
2003-02-23,47.58
2003-03-02,47.59
2003-03-09,47.58
2003-03-16,47.61
2003-03-23,47.62
2003-03-30,
2003-04-06,47.61
2003-04-13,47.6
2003-04-20,47.62
2003-04-27,47.6
2003-05-04,47.61
2003-05-11,47.62
2003-05-18,47.55
2003-05-25,47.55
2003-06-01,47.48
2003-06-08,47.47
2003-06-15,47.39
2003-06-22,47.41
2003-06-29,
