"Zeitpunkt";"Wasserstand(NHN) [mNHN]";"Hinweise"
"18.10.2007 00:00:00";"95,78";"Geprüft"
"01.11.2007 00:00:00";"95,64";"Geprüft"
"08.11.2007 00:00:00";"95,77";"Geprüft"
"15.11.2007 00:00:00";"96,08";"Geprüft"
"22.11.2007 00:00:00";"95,91";"Geprüft"
"01.12.2007 00:00:00";"95,81";"Geprüft"
"08.12.2007 00:00:00";"95,84";"Geprüft"
"15.12.2007 00:00:00";"95,87";"Geprüft"
"22.12.2007 00:00:00";"95,77";"Geprüft"
"01.01.2008 00:00:00";"95,7";"Geprüft"
"08.01.2008 00:00:00";"95,7";"Geprüft"
"15.01.2008 00:00:00";"95,73";"Geprüft"
"22.01.2008 00:00:00";"95,8";"Geprüft"
"01.02.2008 00:00:00";"95,76";"Geprüft"
"08.02.2008 00:00:00";"95,73";"Geprüft"
"15.02.2008 00:00:00";"95,79";"Geprüft"
"22.02.2008 00:00:00";"95,75";"Geprüft"
"01.03.2008 00:00:00";"95,73";"Geprüft"
"08.03.2008 00:00:00";"95,77";"Geprüft"
"15.03.2008 00:00:00";"95,75";"Geprüft"
"22.03.2008 00:00:00";"95,81";"Geprüft"
"01.04.2008 00:00:00";"95,92";"Geprüft"
"08.04.2008 00:00:00";"95,98";"Geprüft"
"15.04.2008 00:00:00";"95,98";"Geprüft"
"22.04.2008 00:00:00";"95,94";"Geprüft"
"01.05.2008 00:00:00";"96";"Geprüft"
"08.05.2008 00:00:00";"95,89";"Geprüft"
"15.05.2008 00:00:00";"95,86";"Geprüft"
"22.05.2008 00:00:00";"95,85";"Geprüft"
"01.06.2008 00:00:00";"95,8";"Geprüft"
"08.06.2008 00:00:00";"95,73";"Geprüft"
"15.06.2008 00:00:00";"95,75";"Geprüft"
"22.06.2008 00:00:00";"95,8";"Geprüft"
"01.07.2008 00:00:00";"95,83";"Geprüft"
"08.07.2008 00:00:00";"95,86";"Geprüft"
"15.07.2008 00:00:00";"95,82";"Geprüft"
"22.07.2008 00:00:00";"95,83";"Geprüft"
"01.08.2008 00:00:00";"95,82";"Geprüft"
"08.08.2008 00:00:00";"95,85";"Geprüft"
"15.08.2008 00:00:00";"95,86";"Geprüft"
"22.08.2008 00:00:00";"95,88";"Geprüft"
"01.09.2008 00:00:00";"95,96";"Geprüft"
"08.09.2008 00:00:00";"95,89";"Geprüft"
"15.09.2008 00:00:00";"95,84";"Geprüft"
"22.09.2008 00:00:00";"95,93";"Geprüft"
"01.10.2008 00:00:00";"95,94";"Geprüft"
"08.10.2008 00:00:00";"95,89";"Geprüft"
"15.10.2008 00:00:00";"95,94";"Geprüft"
"22.10.2008 00:00:00";"95,92";"Geprüft"
"01.11.2008 00:00:00";"96,13";"Geprüft"
"08.11.2008 00:00:00";"96,05";"Geprüft"
"15.11.2008 00:00:00";"95,94";"Geprüft"
"22.11.2008 00:00:00";"95,91";"Geprüft"
"01.12.2008 00:00:00";"95,86";"Geprüft"
"08.12.2008 00:00:00";"95,74";"Geprüft"
"15.12.2008 00:00:00";"95,78";"Geprüft"
"22.12.2008 00:00:00";"95,76";"Geprüft"
"01.01.2009 00:00:00";"95,77";"Geprüft"
"08.01.2009 00:00:00";"95,7";"Geprüft"
"15.01.2009 00:00:00";"95,67";"Geprüft"
"22.01.2009 00:00:00";"95,83";"Geprüft"
"01.02.2009 00:00:00";"95,67";"Geprüft"
"08.02.2009 00:00:00";"95,66";"Geprüft"
"15.02.2009 00:00:00";"95,63";"Geprüft"
"22.02.2009 00:00:00";"95,68";"Geprüft"
"01.03.2009 00:00:00";"95,96";"Geprüft"
"08.03.2009 00:00:00";"95,93";"Geprüft"
"15.03.2009 00:00:00";"95,99";"Geprüft"
"22.03.2009 00:00:00";"96,06";"Geprüft"
"01.04.2009 00:00:00";"95,99";"Geprüft"
"08.04.2009 00:00:00";"95,92";"Geprüft"
"15.04.2009 00:00:00";"95,8";"Geprüft"
"22.04.2009 00:00:00";"95,75";"Geprüft"
"01.05.2009 00:00:00";"95,67";"Geprüft"
"08.05.2009 00:00:00";"95,66";"Geprüft"
"15.05.2009 00:00:00";"95,64";"Geprüft"
"22.05.2009 00:00:00";"95,64";"Geprüft"
"01.06.2009 00:00:00";"95,8";"Geprüft"
"08.06.2009 00:00:00";"95,86";"Geprüft"
"15.06.2009 00:00:00";"95,92";"Geprüft"
"22.06.2009 00:00:00";"95,9";"Geprüft"
"01.07.2009 00:00:00";"96,05";"Geprüft"
"08.07.2009 00:00:00";"96,11";"Geprüft"
"15.07.2009 00:00:00";"96,08";"Geprüft"
"22.07.2009 00:00:00";"96,07";"Geprüft"
"01.08.2009 00:00:00";"96,09";"Geprüft"
"08.08.2009 00:00:00";"96,13";"Geprüft"
"15.08.2009 00:00:00";"96,07";"Geprüft"
"22.08.2009 00:00:00";"95,9";"Geprüft"
"01.09.2009 00:00:00";"95,78";"Geprüft"
"08.09.2009 00:00:00";"95,67";"Geprüft"
"15.09.2009 00:00:00";"95,59";"Geprüft"
"22.09.2009 00:00:00";"95,54";"Geprüft"
"01.10.2009 00:00:00";"95,53";"Geprüft"
"08.10.2009 00:00:00";"95,5";"Geprüft"
"15.10.2009 00:00:00";"95,56";"Geprüft"
"22.10.2009 00:00:00";"95,59";"Geprüft"
"01.11.2009 00:00:00";"95,63";"Geprüft"
"08.11.2009 00:00:00";"95,69";"Geprüft"
"15.11.2009 00:00:00";"95,65";"Geprüft"
"22.11.2009 00:00:00";"95,64";"Geprüft"
"01.12.2009 00:00:00";"95,64";"Geprüft"
"08.12.2009 00:00:00";"95,63";"Geprüft"
"15.12.2009 00:00:00";"95,7";"Geprüft"
"22.12.2009 00:00:00";"95,66";"Geprüft"
"01.01.2010 00:00:00";"95,77";"Geprüft"
"08.01.2010 00:00:00";"95,79";"Geprüft"
"15.01.2010 00:00:00";"95,75";"Geprüft"
"22.01.2010 00:00:00";"95,76";"Geprüft"
"01.02.2010 00:00:00";"95,71";"Geprüft"
"08.02.2010 00:00:00";"95,68";"Geprüft"
"15.02.2010 00:00:00";"95,62";"Geprüft"
"22.02.2010 00:00:00";"95,66";"Geprüft"
"01.03.2010 00:00:00";"95,91";"Geprüft"
"08.03.2010 00:00:00";"95,82";"Geprüft"
"15.03.2010 00:00:00";"95,8";"Geprüft"
"22.03.2010 00:00:00";"95,77";"Geprüft"
"01.04.2010 00:00:00";"95,84";"Geprüft"
"08.04.2010 00:00:00";"95,78";"Geprüft"
"15.04.2010 00:00:00";"95,75";"Geprüft"
"22.04.2010 00:00:00";"95,7";"Geprüft"
"01.05.2010 00:00:00";"95,66";"Geprüft"
"08.05.2010 00:00:00";"95,68";"Geprüft"
"15.05.2010 00:00:00";"95,71";"Geprüft"
"22.05.2010 00:00:00";"95,73";"Geprüft"
"01.06.2010 00:00:00";"95,81";"Geprüft"
"08.06.2010 00:00:00";"95,9";"Geprüft"
"15.06.2010 00:00:00";"95,85";"Geprüft"
"22.06.2010 00:00:00";"95,83";"Geprüft"
"01.07.2010 00:00:00";"95,77";"Geprüft"
"08.07.2010 00:00:00";"95,81";"Geprüft"
"15.07.2010 00:00:00";"95,84";"Geprüft"
"22.07.2010 00:00:00";"95,89";"Geprüft"
"01.08.2010 00:00:00";"95,93";"Geprüft"
"08.08.2010 00:00:00";"96,04";"Geprüft"
"15.08.2010 00:00:00";"96,35";"Geprüft"
"22.08.2010 00:00:00";"96,46";"Geprüft"
"01.09.2010 00:00:00";"96,5";"Geprüft"
"08.09.2010 00:00:00";"96,21";"Geprüft"
"15.09.2010 00:00:00";"96,13";"Geprüft"
"22.09.2010 00:00:00";"96,07";"Geprüft"
"01.10.2010 00:00:00";"96,54";"Geprüft"
"08.10.2010 00:00:00";"96,26";"Geprüft"
"15.10.2010 00:00:00";"96,23";"Geprüft"
"22.10.2010 00:00:00";"96,19";"Geprüft"
"01.11.2010 00:00:00";"96,08";"Geprüft"
"08.11.2010 00:00:00";"96,11";"Geprüft"
"15.11.2010 00:00:00";"96,29";"Geprüft"
"22.11.2010 00:00:00";"96,33";"Geprüft"
"01.12.2010 00:00:00";"96,35";"Geprüft"
"08.12.2010 00:00:00";"96,38";"Geprüft"
"15.12.2010 00:00:00";"96,39";"Geprüft"
"22.12.2010 00:00:00";"96,37";"Geprüft"
"01.01.2011 00:00:00";"96,35";"Geprüft"
"08.01.2011 00:00:00";"96,32";"Geprüft"
"15.01.2011 00:00:00";"96,4";"Geprüft"
"22.01.2011 00:00:00";"96,52";"Geprüft"
"01.02.2011 00:00:00";"96,28";"Geprüft"
"08.02.2011 00:00:00";"96,25";"Geprüft"
"15.02.2011 00:00:00";"96,17";"Geprüft"
"22.02.2011 00:00:00";"96,09";"Geprüft"
"01.03.2011 00:00:00";"95,97";"Geprüft"
"08.03.2011 00:00:00";"95,89";"Geprüft"
"15.03.2011 00:00:00";"95,86";"Geprüft"
"22.03.2011 00:00:00";"95,95";"Geprüft"
"01.04.2011 00:00:00";"95,85";"Geprüft"
"08.04.2011 00:00:00";"95,83";"Geprüft"
"15.04.2011 00:00:00";"95,84";"Geprüft"
"22.04.2011 00:00:00";"95,8";"Geprüft"
"01.05.2011 00:00:00";"95,74";"Geprüft"
"08.05.2011 00:00:00";"95,71";"Geprüft"
"15.05.2011 00:00:00";"95,66";"Geprüft"
"22.05.2011 00:00:00";"95,62";"Geprüft"
"01.06.2011 00:00:00";"95,59";"Geprüft"
"08.06.2011 00:00:00";"95,56";"Geprüft"
"15.06.2011 00:00:00";"95,55";"Geprüft"
"22.06.2011 00:00:00";"95,59";"Geprüft"
"01.07.2011 00:00:00";"96,11";"Geprüft"
"08.07.2011 00:00:00";"96,09";"Geprüft"
"15.07.2011 00:00:00";"96,11";"Geprüft"
"22.07.2011 00:00:00";"95,94";"Geprüft"
"01.09.2011 00:00:00";"95,86";"Geprüft"
"08.09.2011 00:00:00";"95,85";"Geprüft"
"15.09.2011 00:00:00";"95,84";"Geprüft"
"22.09.2011 00:00:00";"95,92";"Geprüft"
"01.10.2011 00:00:00";"95,83";"Geprüft"
"08.10.2011 00:00:00";"95,81";"Geprüft"
"15.10.2011 00:00:00";"95,78";"Geprüft"
"22.10.2011 00:00:00";"95,79";"Geprüft"
"01.11.2011 00:00:00";"95,69";"Geprüft"
"08.11.2011 00:00:00";"95,65";"Geprüft"
"15.11.2011 00:00:00";"95,63";"Geprüft"
"22.11.2011 00:00:00";"95,59";"Geprüft"
"01.12.2011 00:00:00";"95,59";"Geprüft"
"08.12.2011 00:00:00";"95,57";"Geprüft"
"15.12.2011 00:00:00";"95,58";"Geprüft"
"22.12.2011 00:00:00";"95,62";"Geprüft"
"01.01.2012 00:00:00";"95,71";"Geprüft"
"08.01.2012 00:00:00";"95,81";"Geprüft"
"15.01.2012 00:00:00";"95,85";"Geprüft"
"22.01.2012 00:00:00";"95,99";"Geprüft"
"01.02.2012 00:00:00";"95,95";"Geprüft"
"08.02.2012 00:00:00";"95,8";"Geprüft"
"15.02.2012 00:00:00";"95,75";"Geprüft"
"22.02.2012 00:00:00";"95,82";"Geprüft"
"01.03.2012 00:00:00";"95,95";"Geprüft"
"08.03.2012 00:00:00";"95,89";"Geprüft"
"15.03.2012 00:00:00";"95,82";"Geprüft"
"22.03.2012 00:00:00";"95,79";"Geprüft"
"01.04.2012 00:00:00";"95,69";"Geprüft"
"08.04.2012 00:00:00";"95,66";"Geprüft"
"15.04.2012 00:00:00";"95,65";"Geprüft"
"22.04.2012 00:00:00";"95,62";"Geprüft"
"01.05.2012 00:00:00";"95,59";"Geprüft"
"08.05.2012 00:00:00";"95,57";"Geprüft"
"15.05.2012 00:00:00";"95,58";"Geprüft"
"22.05.2012 00:00:00";"95,54";"Geprüft"
"01.06.2012 00:00:00";"95,52";"Geprüft"
"08.06.2012 00:00:00";"95,59";"Geprüft"
"15.06.2012 00:00:00";"95,65";"Geprüft"
"22.06.2012 00:00:00";"95,84";"Geprüft"
"01.07.2012 00:00:00";"96,02";"Geprüft"
"08.07.2012 00:00:00";"96,25";"Geprüft"
