"Zeitpunkt";"Wasserstand(NHN) [mNHN]";"Hinweise"
"01.11.1975 00:00:00";"91,34";"Ungeprüft"
"08.11.1975 00:00:00";"91,35";"Ungeprüft"
"15.11.1975 00:00:00";"91,35";"Ungeprüft"
"22.11.1975 00:00:00";"91,35";"Ungeprüft"
"01.12.1975 00:00:00";"91,35";"Ungeprüft"
"08.12.1975 00:00:00";"91,35";"Ungeprüft"
"15.12.1975 00:00:00";"91,37";"Ungeprüft"
"22.12.1975 00:00:00";"91,37";"Ungeprüft"
"01.01.1976 00:00:00";"91,37";"Ungeprüft"
"08.01.1976 00:00:00";"91,37";"Ungeprüft"
"15.01.1976 00:00:00";"91,37";"Ungeprüft"
"22.01.1976 00:00:00";"91,38";"Ungeprüft"
"01.02.1976 00:00:00";"91,38";"Ungeprüft"
"08.02.1976 00:00:00";"91,38";"Ungeprüft"
"15.02.1976 00:00:00";"91,39";"Ungeprüft"
"22.02.1976 00:00:00";"91,4";"Ungeprüft"
"01.03.1976 00:00:00";"91,4";"Ungeprüft"
"08.03.1976 00:00:00";"91,4";"Ungeprüft"
"15.03.1976 00:00:00";"91,4";"Ungeprüft"
"22.03.1976 00:00:00";"91,4";"Ungeprüft"
"01.04.1976 00:00:00";"91,4";"Ungeprüft"
"08.04.1976 00:00:00";"91,39";"Ungeprüft"
"15.04.1976 00:00:00";"91,39";"Ungeprüft"
"22.04.1976 00:00:00";"91,39";"Ungeprüft"
"01.05.1976 00:00:00";"91,39";"Ungeprüft"
"08.05.1976 00:00:00";"91,39";"Ungeprüft"
"15.05.1976 00:00:00";"91,37";"Ungeprüft"
"22.05.1976 00:00:00";"91,37";"Ungeprüft"
"01.06.1976 00:00:00";"91,38";"Ungeprüft"
"08.06.1976 00:00:00";"91,38";"Ungeprüft"
"15.06.1976 00:00:00";"91,39";"Ungeprüft"
"22.06.1976 00:00:00";"91,39";"Ungeprüft"
"01.07.1976 00:00:00";"91,34";"Ungeprüft"
"08.07.1976 00:00:00";"91,28";"Ungeprüft"
"15.07.1976 00:00:00";"91,25";"Ungeprüft"
"22.07.1976 00:00:00";"91,25";"Ungeprüft"
"01.08.1976 00:00:00";"91,23";"Ungeprüft"
"08.08.1976 00:00:00";"91,22";"Ungeprüft"
"15.08.1976 00:00:00";"91,2";"Ungeprüft"
"22.08.1976 00:00:00";"91,18";"Ungeprüft"
"01.09.1976 00:00:00";"91,18";"Ungeprüft"
"08.09.1976 00:00:00";"91,17";"Ungeprüft"
"15.09.1976 00:00:00";"91,16";"Ungeprüft"
"22.09.1976 00:00:00";"91,16";"Ungeprüft"
"01.10.1976 00:00:00";"91,16";"Ungeprüft"
"08.10.1976 00:00:00";"91,17";"Ungeprüft"
"15.10.1976 00:00:00";"91,17";"Ungeprüft"
"22.10.1976 00:00:00";"91,18";"Ungeprüft"
