"Zeitpunkt";"Wasserstand(NHN) [mNHN]";"Hinweise"
"01.11.2000 00:00:00";"71,97";"Geprüft"
"08.11.2000 00:00:00";"71,98";"Geprüft"
"15.11.2000 00:00:00";"71,96";"Geprüft"
"22.11.2000 00:00:00";"71,96";"Geprüft"
"01.12.2000 00:00:00";"71,95";"Geprüft"
"08.12.2000 00:00:00";"71,9";"Geprüft"
"15.12.2000 00:00:00";"71,91";"Geprüft"
"22.12.2000 00:00:00";"71,89";"Geprüft"
"01.01.2001 00:00:00";"71,94";"Geprüft"
"08.01.2001 00:00:00";"71,97";"Geprüft"
"15.01.2001 00:00:00";"71,91";"Geprüft"
"22.01.2001 00:00:00";"71,92";"Geprüft"
"01.02.2001 00:00:00";"71,91";"Geprüft"
"08.02.2001 00:00:00";"71,9";"Geprüft"
"15.02.2001 00:00:00";"71,93";"Geprüft"
"22.02.2001 00:00:00";"71,96";"Geprüft"
"01.03.2001 00:00:00";"72,01";"Geprüft"
"08.03.2001 00:00:00";"71,98";"Geprüft"
"15.03.2001 00:00:00";"72";"Geprüft"
"22.03.2001 00:00:00";"72,01";"Geprüft"
"01.04.2001 00:00:00";"72,02";"Geprüft"
"08.04.2001 00:00:00";"72,07";"Geprüft"
"15.04.2001 00:00:00";"72,06";"Geprüft"
"22.04.2001 00:00:00";"72,06";"Geprüft"
"01.05.2001 00:00:00";"72,05";"Geprüft"
"08.05.2001 00:00:00";"72,05";"Geprüft"
"15.05.2001 00:00:00";"72,06";"Geprüft"
"22.05.2001 00:00:00";"72,04";"Geprüft"
"01.06.2001 00:00:00";"72,02";"Geprüft"
"08.06.2001 00:00:00";"72,01";"Geprüft"
"15.06.2001 00:00:00";"72,02";"Geprüft"
"22.06.2001 00:00:00";"71,99";"Geprüft"
"01.07.2001 00:00:00";"72,02";"Geprüft"
"08.07.2001 00:00:00";"71,94";"Geprüft"
"15.07.2001 00:00:00";"71,93";"Geprüft"
"22.07.2001 00:00:00";"71,92";"Geprüft"
"01.08.2001 00:00:00";"71,9";"Geprüft"
"08.08.2001 00:00:00";"71,9";"Geprüft"
"15.08.2001 00:00:00";"71,85";"Geprüft"
"22.08.2001 00:00:00";"71,84";"Geprüft"
"01.09.2001 00:00:00";"71,85";"Geprüft"
"08.09.2001 00:00:00";"71,83";"Geprüft"
"15.09.2001 00:00:00";"71,85";"Geprüft"
"22.09.2001 00:00:00";"71,86";"Geprüft"
"01.10.2001 00:00:00";"71,95";"Geprüft"
"08.10.2001 00:00:00";"71,98";"Geprüft"
"15.10.2001 00:00:00";"71,98";"Geprüft"
"22.10.2001 00:00:00";"71,93";"Geprüft"
"01.11.2001 00:00:00";"71,97";"Geprüft"
"08.11.2001 00:00:00";"71,96";"Geprüft"
"15.11.2001 00:00:00";"71,93";"Geprüft"
"22.11.2001 00:00:00";"71,92";"Geprüft"
"01.12.2001 00:00:00";"71,91";"Geprüft"
"08.12.2001 00:00:00";"71,95";"Geprüft"
"15.12.2001 00:00:00";"71,94";"Geprüft"
"22.12.2001 00:00:00";"71,92";"Geprüft"
"01.01.2002 00:00:00";"72";"Geprüft"
"08.01.2002 00:00:00";"72,01";"Geprüft"
"15.01.2002 00:00:00";"72,02";"Geprüft"
"22.01.2002 00:00:00";"72,01";"Geprüft"
"01.02.2002 00:00:00";"72,11";"Geprüft"
"08.02.2002 00:00:00";"72,22";"Geprüft"
"15.02.2002 00:00:00";"72,23";"Geprüft"
"22.02.2002 00:00:00";"72,24";"Geprüft"
"01.03.2002 00:00:00";"72,22";"Geprüft"
"08.03.2002 00:00:00";"72,51";"Geprüft"
"15.03.2002 00:00:00";"72,57";"Geprüft"
"22.03.2002 00:00:00";"72,57";"Geprüft"
"01.04.2002 00:00:00";"72,6";"Geprüft"
"08.04.2002 00:00:00";"72,59";"Geprüft"
"15.04.2002 00:00:00";"72,6";"Geprüft"
"22.04.2002 00:00:00";"72,61";"Geprüft"
"01.05.2002 00:00:00";"72,62";"Geprüft"
"08.05.2002 00:00:00";"72,67";"Geprüft"
"15.05.2002 00:00:00";"72,65";"Geprüft"
"22.05.2002 00:00:00";"72,72";"Geprüft"
"01.06.2002 00:00:00";"72,71";"Geprüft"
"08.06.2002 00:00:00";"72,69";"Geprüft"
"15.06.2002 00:00:00";"72,63";"Geprüft"
"22.06.2002 00:00:00";"72,62";"Geprüft"
"01.07.2002 00:00:00";"72,58";"Geprüft"
"08.07.2002 00:00:00";"72,55";"Geprüft"
"15.07.2002 00:00:00";"72,52";"Geprüft"
"22.07.2002 00:00:00";"72,51";"Geprüft"
"01.08.2002 00:00:00";"72,52";"Geprüft"
"08.08.2002 00:00:00";"72,62";"Geprüft"
"15.08.2002 00:00:00";"72,63";"Geprüft"
"22.08.2002 00:00:00";"72,66";"Geprüft"
"01.09.2002 00:00:00";"72,66";"Geprüft"
"08.09.2002 00:00:00";"72,57";"Geprüft"
"15.09.2002 00:00:00";"72,54";"Geprüft"
"22.09.2002 00:00:00";"72,51";"Geprüft"
"01.10.2002 00:00:00";"72,49";"Geprüft"
"08.10.2002 00:00:00";"72,47";"Geprüft"
"15.10.2002 00:00:00";"72,46";"Geprüft"
"22.10.2002 00:00:00";"72,47";"Geprüft"
"01.11.2002 00:00:00";"72,52";"Geprüft"
"08.11.2002 00:00:00";"72,54";"Geprüft"
"15.11.2002 00:00:00";"72,53";"Geprüft"
"22.11.2002 00:00:00";"72,56";"Geprüft"
"01.12.2002 00:00:00";"72,61";"Geprüft"
"08.12.2002 00:00:00";"72,59";"Geprüft"
"15.12.2002 00:00:00";"72,59";"Geprüft"
"22.12.2002 00:00:00";"72,58";"Geprüft"
"01.01.2003 00:00:00";"72,56";"Geprüft"
"08.01.2003 00:00:00";"72,57";"Geprüft"
"15.01.2003 00:00:00";"72,58";"Geprüft"
"22.01.2003 00:00:00";"72,58";"Geprüft"
