"Zeitpunkt";"Wasserstand(NHN) [mNHN]";"Hinweise"
"01.04.1958 00:00:00";"59,87";"Ungeprüft"
"01.05.1958 00:00:00";"59,96";"Ungeprüft"
"01.06.1958 00:00:00";"59,93";"Ungeprüft"
"01.07.1958 00:00:00";"59,82";"Ungeprüft"
"01.08.1958 00:00:00";"59,9";"Ungeprüft"
"01.09.1958 00:00:00";"59,84";"Ungeprüft"
"01.10.1958 00:00:00";"59,85";"Ungeprüft"
"01.11.1958 00:00:00";"59,86";"Ungeprüft"
"01.12.1958 00:00:00";"59,86";"Ungeprüft"
"01.01.1959 00:00:00";"59,88";"Ungeprüft"
"01.02.1959 00:00:00";"59,89";"Ungeprüft"
"01.03.1959 00:00:00";"59,92";"Ungeprüft"
"01.04.1959 00:00:00";"59,94";"Ungeprüft"
"01.05.1959 00:00:00";"59,9";"Ungeprüft"
"01.06.1959 00:00:00";"59,85";"Ungeprüft"
"01.07.1959 00:00:00";"59,83";"Ungeprüft"
"01.08.1959 00:00:00";"59,84";"Ungeprüft"
"01.09.1959 00:00:00";"59,8";"Ungeprüft"
"01.10.1959 00:00:00";"59,72";"Ungeprüft"
"01.11.1959 00:00:00";"59,74";"Ungeprüft"
"01.12.1959 00:00:00";"59,74";"Ungeprüft"
"01.01.1960 00:00:00";"59,75";"Ungeprüft"
"01.02.1960 00:00:00";"59,77";"Ungeprüft"
"01.03.1960 00:00:00";"59,79";"Ungeprüft"
"01.04.1960 00:00:00";"59,79";"Ungeprüft"
"01.05.1960 00:00:00";"59,8";"Ungeprüft"
"01.06.1960 00:00:00";"59,79";"Ungeprüft"
"01.07.1960 00:00:00";"59,8";"Ungeprüft"
"01.08.1960 00:00:00";"59,8";"Ungeprüft"
"01.09.1960 00:00:00";"59,78";"Ungeprüft"
"01.10.1960 00:00:00";"59,75";"Ungeprüft"
"01.11.1960 00:00:00";"59,79";"Ungeprüft"
"01.12.1960 00:00:00";"59,84";"Ungeprüft"
"01.01.1961 00:00:00";"59,87";"Ungeprüft"
"01.02.1961 00:00:00";"59,91";"Ungeprüft"
"01.03.1961 00:00:00";"59,94";"Ungeprüft"
"01.04.1961 00:00:00";"59,9";"Ungeprüft"
"01.05.1961 00:00:00";"59,82";"Ungeprüft"
"01.06.1961 00:00:00";"59,79";"Ungeprüft"
"01.07.1961 00:00:00";"59,75";"Ungeprüft"
"01.08.1961 00:00:00";"59,74";"Ungeprüft"
"01.09.1961 00:00:00";"59,74";"Ungeprüft"
"01.10.1961 00:00:00";"59,72";"Ungeprüft"
"01.11.1961 00:00:00";"59,78";"Ungeprüft"
"01.12.1961 00:00:00";"59,81";"Ungeprüft"
"01.01.1962 00:00:00";"59,8";"Ungeprüft"
"01.02.1962 00:00:00";"59,82";"Ungeprüft"
"01.03.1962 00:00:00";"59,82";"Ungeprüft"
"01.04.1962 00:00:00";"59,82";"Ungeprüft"
"01.04.1966 00:00:00";"59,8";"Ungeprüft"
"01.05.1966 00:00:00";"59,84";"Ungeprüft"
"01.06.1966 00:00:00";"59,88";"Ungeprüft"
"01.07.1966 00:00:00";"59,86";"Ungeprüft"
"01.08.1966 00:00:00";"59,85";"Ungeprüft"
"01.09.1966 00:00:00";"59,83";"Ungeprüft"
"01.10.1966 00:00:00";"59,79";"Ungeprüft"
"01.11.1966 00:00:00";"59,76";"Ungeprüft"
"01.12.1966 00:00:00";"59,81";"Ungeprüft"
